"";"V1";"V2";"V3";"V4";"V5";"V6"
"1";"Fundulus heteroclitus";"0.816";"0.873";"0.831";"0.886";"0.708"
"2";"Gambusia affinis";"0.833";"0.808";"0.853";"0.839";"0.853"
"3";"Gambusia holbrooki";"0.877";"0.924";"0.881";"0.886";"0.874"
"4";"Oncorhynchus keta";"0.81";"0.856";"0.829";"0.827";"0.844"
"5";"Oncorhynchus kisutch";"0.882";"0.862";"0.885";"0.867";"0.863"
"6";"Pseudorasbora parva";"0.53";"0.541";"0.599";"0.49";"0.568"
"7";"Echinogammarus ischnus";"0.973";"0.973";"0.973";"0.973";"0.975"
"8";"Lithoglyphus naticoides";"0.661";"0.72";"0.669";"0.764";"0.743"
"9";"Potamopyrgus antipodarum";"0.637";"0.645";"0.61";"0.641";"0.644"
"10";"Gracilaria vermiculophylla";"0.809";"0.785";"0.8";"0.792";"0.855"
"11";"Dreissena polymorpha.csv";"0.934";"0.903";"0.908";"0.946";"0.924"
"12";"Misgurnus anguillicaudatus";"0.647";"0.616";"0.66";"0.565";"0.615"
"13";"Corbicula fluminea";"0.772";"0.756";"0.76";"0.737";"0.747"
"14";"Cancer irroratus";"0.661";"0.672";"0.695";"0.721";"0.669"
"15";"Neogobius melanostomus";"0.836";"0.839";"0.844";"0.827";"0.853"
"16";"Oncorhynchus gorbuscha";"0.881";"0.906";"0.904";"0.876";"0.893"
"17";"Elodea nuttallii";"0.755";"0.562";"0.675";"0.463";"0.621"
"18";"Nymphoides peltata";"0.618";"0.643";"0.708";"0.568";"0.599"
"19";"Pistia stratiotes";"0.915";"0.898";"0.892";"0.928";"0.928"
"20";"Faxonius limosus";"0.695";"0.611";"0.621";"0.587";"0.586"
