,V1,V2,V3,V4,V5,V6
1,Potamopyrgus antipodarum,0.678,0.654,0.672,0.69,0.646
2,Crepidula fornicata,0.772,0.77,0.508,0.713,0.563
3,Cordylophora caspia,0.797,0.818,0.785,0.771,0.787
4,Amphibalanus improvisus,0.739,0.762,0.762,0.733,0.797
5,Austrominius modestus,0.685,0.713,0.689,0.717,0.714
6,Petricolaria pholadiformis,0.708,0.716,0.643,0.637,0.7
7,Hemigrapsus takanoi,0.884,0.823,0.841,0.829,0.836
8,Corella eumyota,0.721,0.683,0.721,0.732,0.718
9,Ficopomatus enigmaticus,0.739,0.689,0.738,0.727,0.725
10,Ascidiella aspersa,0.808,0.818,0.816,0.828,0.815
11,Monocorophium acherusicum,0.449,0.405,0.506,0.46,0.498
12,Bonnemaisonia hamifera,0.798,0.792,0.792,0.775,0.793
13,Cutleria multifida,0.645,0.693,0.715,0.682,0.71
14,Asparagopsis armata,0.759,0.734,0.738,0.762,0.758
15,Monocorophium sextonae,0.757,0.733,0.754,0.761,0.681
16,Leptosiphonia brodiei,0.667,0.668,0.73,0.643,0.709
17,Polydora cornuta,0.494,0.498,0.534,0.463,0.446
18,Palaemon elegans,0.756,0.791,0.757,0.769,0.768
19,Gammarus tigrinus,0.829,0.803,0.859,0.814,0.861
20,Hydroides elegans,0.788,0.803,0.792,0.775,0.81
21,Amphibalanus eburneus,0.899,0.866,0.876,0.89,0.866
22,Rhithropanopeus harrisii,0.935,0.922,0.944,0.946,0.913
23,Paranthura japonica,0.92,0.912,0.902,0.921,0.929
24,Caprella scaura,0.925,0.914,0.919,0.9,0.924
25,Mytilicola orientalis,0.918,0.914,0.901,0.913,0.916
26,Armadillidium nasatum,0.683,0.602,0.672,0.693,0.719
27,Bugula neritina,0.764,0.781,0.757,0.724,0.777
28,Asparagopsis taxiformis,0.891,0.891,0.891,0.894,0.895
29,Dasysiphonia japonica,0.849,0.872,0.882,0.879,0.873
30,Acartia tonsa,0.959,0.931,0.957,0.956,0.964
31,Neogobius melanostomus,0.956,0.923,0.955,0.959,0.956
32,Cercopagis pengoi,1,1,1,1,1
33,Melanothamnus harveyi,0.792,0.744,0.744,0.737,0.733
34,Herdmania momus,0.976,0.98,0.976,0.971,0.978
35,Ostreopsis ovata,0.912,0.913,0.924,0.902,0.871
36,Amphibalanus amphitrite,0.931,0.93,0.939,0.938,0.93
37,Botrylloides violaceus,0.67,0.651,0.608,0.631,0.75
38,Caprella mutica,0.753,0.781,0.783,0.788,0.767
39,Marenzelleria viridis,0.707,0.667,0.676,0.712,0.735
40,Arcuatula senhousia,0.859,0.858,0.867,0.871,0.861
41,Balanus trigonus,0.909,0.894,0.9,0.926,0.916
42,Rangia cuneata,0.741,0.961,0.964,0.965,0.966
43,Perophora japonica,0.554,0.559,0.562,0.559,0.5
44,Juxtacribrilina mutabilis,0.599,0.499,0.575,0.525,0.577
45,Schizoporella japonica,0.854,0.815,0.842,0.864,0.864
46,Streblospio benedicti,0.686,0.681,0.598,0.477,0.541
47,Thalassiosira punctigera,0.887,0.871,0.904,0.899,0.893
48,Ensis directus,0.939,0.651,0.35,0.796,0.506
49,Leptosiphonia fibrillosa,0.637,0.636,0.575,0.603,0.624
50,Fibrocapsa japonica,0.656,0.843,0.656,0.869,0.71
51,Pseudocalanus mimus,0.911,0.9,0.912,0.912,0.905
52,Pseudocalanus acuspes,0.857,0.856,0.861,0.859,0.858
