species,present.data,absence.data,pseudoabsence.data,n.present,n.absent,comment on Taxon
Potamopyrgus antipodarum,Potamopyrgus antipodarum.csv,Potamopyrgus antipodarum.csv,pseudoabsences.marine.excludeboxZB.csv,1620,0,names match
Crepidula fornicata,Crepidula fornicata.csv,Crepidula fornicata.csv,pseudoabsences.marine.excludeboxZB.csv,4007,25345,names match
Cordylophora caspia,Cordylophora caspia.csv,Cordylophora caspia.csv,pseudoabsences.marine.excludeboxZB.csv,108,0,names match
Amphibalanus improvisus,Amphibalanus improvisus.csv,Amphibalanus improvisus.csv,pseudoabsences.marine.excludeboxZB.csv,453,8,names match
Austrominius modestus,Austrominius modestus.csv,Austrominius modestus.csv,pseudoabsences.marine.excludeboxZB.csv,3297,98,names match
Petricolaria pholadiformis,Petricolaria pholadiformis.csv,Petricolaria pholadiformis.csv,pseudoabsences.marine.excludeboxZB.csv,3991,25390,names match
Hemigrapsus takanoi,Hemigrapsus takanoi.csv,Hemigrapsus takanoi.csv,pseudoabsences.marine.excludeboxZB.csv,239,25189,names match
Mnemiopsis leidyi,Mnemiopsis leidyi.csv,Mnemiopsis leidyi.csv,pseudoabsences.marine.excludeboxPP.csv,2122,7528,names match
Corella eumyota,Corella eumyota.csv,Corella eumyota.csv,pseudoabsences.marine.excludeboxZB.csv,345,155,names match
Ficopomatus enigmaticus,Ficopomatus enigmaticus.csv,Ficopomatus enigmaticus.csv,pseudoabsences.marine.excludeboxZB.csv,118,104,names match
Ascidiella aspersa,Ascidiella aspersa.csv,Ascidiella aspersa.csv,pseudoabsences.marine.excludeboxZB.csv,2083,470,names match
Monocorophium acherusicum,Monocorophium acherusicum.csv,Monocorophium acherusicum.csv,pseudoabsences.marine.excludeboxZB.csv,176,0,names match
Bonnemaisonia hamifera,Bonnemaisonia hamifera.csv,Bonnemaisonia hamifera.csv,pseudoabsences.marine.excludeboxPB.csv,1386,31,names match
Cutleria multifida,Cutleria multifida.csv,Cutleria multifida.csv,pseudoabsences.marine.excludeboxPB.csv,676,65,names match
Asparagopsis armata,Asparagopsis armata.csv,Asparagopsis armata.csv,pseudoabsences.marine.excludeboxPB.csv,3687,702,names match
Monocorophium sextonae,Monocorophium sextonae.csv,Monocorophium sextonae.csv,pseudoabsences.marine.excludeboxZB.csv,309,0,names match
Leptosiphonia brodiei,Leptosiphonia brodiei.csv,Leptosiphonia brodiei.csv,pseudoabsences.marine.excludeboxPB.csv,208,0,Leptosiphonia fibrillosa
Polydora cornuta,Polydora cornuta.csv,Polydora cornuta.csv,pseudoabsences.marine.excludeboxZB.csv,294,0,names match
Palaemon elegans,Palaemon elegans.csv,Palaemon elegans.csv,pseudoabsences.marine.excludeboxZP.csv,921,32,names match
Halothrix lumbricalis,Halothrix lumbricalis.csv,Halothrix lumbricalis.csv,pseudoabsences.marine.excludeboxPB.csv,16,0,names match
Gammarus tigrinus,Gammarus tigrinus.csv,Gammarus tigrinus.csv,pseudoabsences.marine.excludeboxZB.csv,357,6,names match
Hydroides elegans,Hydroides elegans.csv,Hydroides elegans.csv,pseudoabsences.marine.excludeboxZB.csv,77,6,names match
Haloa japonica,Haloa japonica.csv,Haloa japonica.csv,pseudoabsences.marine.excludeboxZB.csv,20,0,names match
Amphibalanus eburneus,Amphibalanus eburneus.csv,Amphibalanus eburneus.csv,pseudoabsences.marine.excludeboxZB.csv,28,0,names match
Rhithropanopeus harrisii,Rhithropanopeus harrisii.csv,Rhithropanopeus harrisii.csv,pseudoabsences.marine.excludeboxZB.csv,1637,264,names match
Paranthura japonica,Paranthura japonica.csv,Paranthura japonica.csv,pseudoabsences.marine.excludeboxZB.csv,9,0,names match
Celleporaria brunnea,Celleporaria brunnea.csv,Celleporaria brunnea.csv,pseudoabsences.marine.excludeboxZB.csv,5,0,names match
Caprella scaura,Caprella scaura.csv,Caprella scaura.csv,pseudoabsences.marine.excludeboxZB.csv,52,0,names match
