"";"Species";"npos";"nabs";"npos.unique";"nabs.unique";"npos.unique.complete";"nabs.unique.complete"
"stats.temp";"Crepidula fornicata";"4007";"26345";"1663";"771";"1663";"771"
"stats.temp.1";"Cordylophora caspia";"108";"1000";"45";"198";"45";"198"
"stats.temp.2";"Amphibalanus improvisus";"453";"1008";"193";"206";"193";"206"
"stats.temp.3";"Austrominius modestus";"3297";"1098";"1684";"268";"1684";"268"
"stats.temp.4";"Petricolaria pholadiformis";"3991";"26390";"352";"198";"352";"198"
"stats.temp.5";"Hemigrapsus takanoi";"239";"26189";"137";"330";"137";"330"
"stats.temp.6";"Mnemiopsis leidyi";"2122";"8528";"981";"136";"981";"136"
"stats.temp.7";"Corella eumyota";"345";"1155";"196";"322";"195";"322"
"stats.temp.8";"Ficopomatus enigmaticus";"118";"1104";"86";"248";"86";"248"
"stats.temp.9";"Ascidiella aspersa";"2083";"1470";"1392";"270";"1392";"270"
"stats.temp.10";"Monocorophium acherusicum";"176";"1000";"141";"198";"141";"198"
"stats.temp.11";"Bonnemaisonia hamifera";"1386";"1031";"906";"774";"906";"774"
"stats.temp.12";"Cutleria multifida";"676";"1065";"448";"766";"448";"766"
"stats.temp.13";"Asparagopsis armata";"3687";"1702";"1568";"1237";"1568";"1237"
"stats.temp.14";"Monocorophium sextonae";"309";"1000";"145";"198";"145";"198"
"stats.temp.15";"Leptosiphonia brodiei";"208";"1000";"169";"747";"169";"747"
"stats.temp.16";"Polydora cornuta";"294";"1000";"209";"198";"209";"198"
"stats.temp.17";"Palaemon elegans";"921";"1032";"599";"541";"599";"537"
"stats.temp.18";"Halothrix lumbricalis";"16";"1000";"5";"747";"5";"747"
"stats.temp.19";"Gammarus tigrinus";"357";"1006";"188";"201";"188";"201"
"stats.temp.20";"Hydroides elegans";"77";"1006";"69";"201";"69";"201"
"stats.temp.21";"Haloa japonica";"20";"1000";"17";"198";"17";"198"
"stats.temp.22";"Amphibalanus eburneus";"28";"1000";"27";"198";"27";"198"
"stats.temp.23";"Rhithropanopeus harrisii";"1637";"1264";"712";"229";"712";"229"
"stats.temp.24";"Paranthura japonica";"9";"1000";"7";"198";"7";"198"
"stats.temp.25";"Celleporaria brunnea";"5";"1000";"5";"198";"5";"198"
"stats.temp.26";"Caprella scaura";"52";"1000";"34";"198";"34";"198"
"stats.temp.27";"Mytilicola orientalis";"40";"1000";"36";"198";"36";"198"
"stats.temp.28";"Armadillidium nasatum";"189";"1000";"78";"198";"78";"198"
"stats.temp.29";"Bugula neritina";"264";"1421";"160";"393";"159";"393"
"stats.temp.30";"Asparagopsis taxiformis";"1148";"1368";"450";"844";"450";"844"
"stats.temp.31";"Dasysiphonia japonica";"173";"1370";"88";"845";"88";"845"
"stats.temp.32";"Acartia tonsa";"794";"1000";"146";"526";"146";"522"
"stats.temp.33";"Neogobius melanostomus";"1901";"1056";"805";"218";"805";"218"
"stats.temp.34";"Cercopagis pengoi";"117";"1000";"39";"526";"39";"522"
"stats.temp.35";"Melanothamnus harveyi";"79";"1000";"58";"747";"58";"747"
"stats.temp.36";"Herdmania momus";"59";"1000";"56";"198";"56";"198"
"stats.temp.37";"Ostreopsis ovata";"32";"1010";"22";"530";"22";"526"
"stats.temp.38";"Amphibalanus amphitrite";"496";"1012";"186";"210";"186";"210"
"stats.temp.39";"Botrylloides violaceus";"708";"1380";"285";"315";"285";"315"
"stats.temp.40";"Apionsoma misakianum";"5";"1000";"5";"198";"5";"198"
"stats.temp.41";"Caprella mutica";"495";"1332";"229";"303";"229";"303"
"stats.temp.42";"Pleurosira laevis";"8";"1000";"8";"127";"8";"127"
"stats.temp.43";"Marenzelleria viridis";"9";"1000";"9";"198";"9";"198"
"stats.temp.44";"Fenestrulina delicia";"10";"1000";"9";"198";"9";"198"
"stats.temp.45";"Gonionemus vertens";"8";"1000";"7";"526";"7";"522"
"stats.temp.46";"Arcuatula senhousia";"356";"1120";"191";"299";"191";"299"
"stats.temp.47";"Balanus trigonus";"91";"1006";"72";"204";"72";"204"
"stats.temp.48";"Smittoidea prolifica";"5";"1000";"4";"198";"4";"198"
"stats.temp.49";"Rangia cuneata";"238";"1001";"113";"199";"113";"199"
"stats.temp.50";"Perophora japonica";"53";"1129";"37";"255";"37";"255"
"stats.temp.51";"Corambe obscura";"16";"1000";"11";"198";"11";"198"
"stats.temp.52";"Juxtacribrilina mutabilis";"41";"1000";"13";"198";"13";"198"
"stats.temp.53";"Schizoporella japonica";"70";"1012";"61";"210";"61";"210"
