Vetenskapligt namn,Svenskt/populärvetenskapligt namn,Source,Samlat riskutfall (5=högst),included,Group:Envrironment,group:Taxonomy,Group:Salinity,Group:HabitatAdult,gbif occurence,useful points,comments,
Undaria pinnatifida,Wakame wheat,HAV-list Dörrknackare,2,T,phytobenthos,Brown algae,marine,benthic,2225,,good,
Halophila stipulacea,N/A,none,unknown,F,phytobenthos,Marine seagrass (Tracheophyta),,,,,,
Chaetoceros seiracanthus,N/A,HAV-list Dörrknackare,unknown,T,phytoplankton,Microalgae,marine,holo-pelagic,111,60,good,
Dissodinium pseudocalani,N/A,HAV-list Dörrknackare,unknown,T,phytoplankton,Dinoflagellate,marine,holo-pelagic,9,9,few recs,
Fibrocapsa japonica,N/A,HAV-list Dörrknackare,5,T,phytoplankton,Microalgae,marine,holo-pelagic,257,150,good,
Alexandrium ostenfeldii,N/A,HAV-list Dörrknackare,3,T,phytoplankton,Dinoflagellate,marine,holo-pelagic,461,390,good,
Alexandrium tamarense,N/A,AquaNIS listed,3,T,phytoplankton,Dinoflagellate,marine,holo-pelagic,1712,1140,good,
Thalassiosira punctigera,N/A,AquaNIS listed,3,T,phytoplankton,Bacillariophyceae,marine,holo-pelagic,1165,145,good,
Dinophysis sacculus,N/A,none,unknown,F,phytoplankton,Dinoflagellate,,,,,,
Arcuatula senhousia,date mussel,HAV-list Dörrknackare,4,T,zoobenthos,Marine invertebrate,marine,benthic,2102,662,good,
Austrominius modestus,barnacle,HAV-list Dörrknackare,1,T,zoobenthos,Marine invertebrate,marine,benthic,7233,2881,good,
Bugula neritina,moss anomal,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,marine,benthic,1989,1235,good,
Cancer irroratus,Atlantic rock crab,HAV-list Dörrknackare,5,T,zoobenthos,Marine invertebrate,marine,benthic,1802,877,only 1 occurrence in Europé,
Ficopomatus enigmaticus,Australian tubeworm,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,marine,benthic,959,463,good,
Mytilopsis leucophaeata,Conrad's false musle,HAV-list Dörrknackare,4,T,zoobenthos,Marine invertebrate,estuarine/freshwater,benthic,991,373,good,
Neogobius melanostomus,round goby ,none,5,T,zoobenthos,Marine invertebrate,estuarine/freshwater,benthic,13330,12875,good,
Ocenebra inornata,Asian drill,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,marine,benthic,131,62,good,
Penaeus japonicus,Kuruma prawn,HAV-list Dörrknackare,1,T,zoobenthos,Marine invertebrate,marine,benthic,247,18,few recs,
Pontogammarus robustoides,N/A,HAV-list Dörrknackare,4,F,zoobenthos,Marine invertebrate,estuarine/freshwater,benthic,NA,NA,freshwater,
Rangia cuneata,Atlantic rangia,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,estuarine/freshwater,benthic,2620,1097,good,
Rapana venosa,Asian rapa whelk,HAV-list Dörrknackare,4,T,zoobenthos,Marine invertebrate,estuarine/freshwater,benthic,923,124,good,
Rhithropanopeus harrisii,vitfingrad brackvattenskrabba,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,estuarine/freshwater,benthic,1408,820,good,
Ruditapes philippinarum,Japanese carpet shell,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,marine,benthic,5178,1700,good,
Urosalpinx cinerea,N/A,HAV-list Dörrknackare,2,T,zoobenthos,Marine invertebrate,marine,benthic,1635,419,good,
Admete viridula,northern admete,OSPAR enlisted,3,T,zoobenthos,Marine invertebrate,marine,benthic,1132,245,good,
Amphibalanus eburneus,barnacle,OSPAR enlisted,3,T,zoobenthos,Marine invertebrate,marine,benthic,225,127,good,
Hydroides dianthus,limy tubeworm,OSPAR enlisted,3,T,zoobenthos,Marine invertebrate,marine,benthic,461,83,good,
Acipenser gueldenstaedtii ,Azov-Black sea sturgeon,OSPAR enlisted,2,T,zoobenthos,Fish,estuarine/freshwater,benthic,139,58,good,
Asterias amurensis,Japanese common starfish,OSPAR enlisted,3,T,zoobenthos,Marine invertebrate,marine,benthic,658,166,good,
Styela clava,N/A,OSPAR enlisted,2,T,zoobenthos,Marine invertebrate,marine,benthic,3037,2032,good,
Oncorhynchus keta,"hundlax, Chum salmon",HAV-list Dörrknackare,1,F,zoobenthos,Fish,estuarine/freshwater,holo-pelagic,NA,NA,"brackish, no european occurrences",
