ID,XCOORD,YCOORD
0,-7.802263,45.008623
1,-12.772897,32.815122
2,-9.284902,45.600893
3,7.449070,46.947899
4,30.444628,45.820672
5,-7.047181,48.539165
6,27.604775,47.608602
7,19.444259,56.908495
8,-1.616480,59.623768
9,32.567142,40.781019
10,25.431415,63.991231
11,15.693157,32.571107
12,-3.648501,43.470813
13,21.236145,31.592608
14,13.249865,31.725921
15,21.491590,54.096917
16,21.361949,64.350069
17,11.722761,35.607031
18,-6.565656,31.974414
19,0.202224,51.617762
20,31.679113,37.222253
21,-10.777892,42.184180
22,29.284068,47.248170
23,13.670974,34.648699
24,-4.098215,34.282387
25,37.451552,45.780851
26,18.373359,61.134163
27,15.119343,42.118488
28,0.583097,44.124561
29,2.342172,66.693246
30,9.839843,38.703303
31,9.144437,58.814214
32,19.330973,45.189382
33,11.595653,67.946500
34,20.065260,70.726809
35,34.761359,33.683457
36,10.095954,44.866238
37,5.401667,59.558304
38,-4.768563,55.619912
39,20.945752,62.347795
40,18.784523,32.825008
41,8.023480,42.456141
42,18.673273,30.797626
43,1.339041,64.474887
44,-2.388093,59.370311
45,24.699500,66.424239
46,-8.171736,64.165998
47,-10.997387,51.027659
48,20.105305,37.703900
49,-13.143313,38.133822
50,29.687315,43.294098
51,21.957431,38.446191
52,2.564777,43.503580
53,8.245272,45.481767
54,7.470343,66.057333
55,6.486029,42.230696
56,4.868331,69.560711
57,23.261583,52.134604
58,17.974324,69.455853
59,0.320882,45.556273
60,7.885645,36.753248
61,1.854254,39.640215
62,-7.744310,65.864032
63,25.163500,59.269347
64,-10.311091,35.311234
65,13.463386,39.030984
66,25.217618,57.886583
67,3.312025,62.619147
68,20.824875,49.609563
69,9.536024,35.419490
70,-5.419986,68.529434
71,27.088379,36.786833
72,-10.972067,30.259766
73,-14.013826,29.106046
74,30.277878,39.254479
75,-0.073357,42.023891
76,29.679548,38.699261
77,21.521155,45.389040
78,39.366576,39.864517
79,-7.259824,47.677005
80,9.775482,52.895869
81,-10.461167,38.361884
82,22.956659,60.810049
83,8.747528,37.121468
84,-11.586820,40.422791
85,-15.162286,44.417071
86,35.577108,43.844520
87,15.101136,36.670477
88,-0.556150,41.304660
89,22.044559,70.744980
90,8.156832,62.775214
91,29.573857,63.474574
92,10.964483,59.547119
93,21.822068,48.214089
94,21.939900,60.594919
95,-16.385441,47.640337
96,3.536403,37.114151
97,18.246811,35.010549
98,-0.741208,43.915443
99,8.532755,55.271058
100,-9.937011,50.744774
101,-4.750987,44.222735
102,-8.677252,63.179762
103,-3.935605,39.363438
104,-10.357445,61.382636
105,-7.353566,31.552997
106,-0.349014,68.824735
107,21.462960,63.650888
108,28.050700,29.888357
109,13.866155,53.061380
110,27.070181,36.979872
111,3.451267,52.931082
112,2.339175,60.083968
113,3.001488,37.277245
114,37.737352,41.545415
115,10.630462,53.676474
116,21.109874,51.236519
117,-12.218918,42.737952
118,25.737774,39.588798
119,-15.502766,41.915682
120,24.345366,60.191515
121,13.500868,64.066029
122,-13.172103,37.766501
123,27.991164,58.448142
124,36.029134,44.631173
125,-9.280790,33.884230
126,-2.189818,48.464659
127,36.886862,36.303411
128,12.820368,48.526079
129,-0.471928,38.447620
130,-9.837605,34.485401
131,-10.290981,51.559406
132,-10.987713,42.543673
133,17.921692,70.838797
134,37.498551,33.913615
135,17.382368,31.889171
136,-3.470407,59.579470
137,29.425280,47.053837
138,-5.084397,35.759192
139,-1.365378,43.749325
140,-5.228129,41.543380
141,-3.309428,45.777197
142,38.883504,46.611957
143,38.316839,43.922956
144,3.914514,47.139574
145,12.190925,51.606266
146,16.940108,46.044912
147,37.279019,40.370196
148,0.625927,63.445625
149,7.738151,67.278503
150,2.760928,51.056424
151,-3.311998,57.029819
152,-3.542134,64.911347
153,37.734546,35.583250
154,21.727232,58.657656
155,36.535157,41.573246
156,21.697994,68.503455
157,32.944155,32.655431
158,5.989060,39.921916
159,-4.288846,54.374822
160,40.706891,44.502407
161,-13.001106,66.245187
162,7.381527,66.581663
163,-11.865161,65.039979
164,22.444389,55.365727
165,-13.171982,42.191629
166,14.893779,56.361433
167,-7.504735,63.226969
168,-7.477233,31.222437
169,-10.723107,60.686592
170,-10.479609,35.058300
171,29.165334,40.309057
172,26.341120,29.838304
173,10.386538,58.906351
174,28.338203,45.187304
175,15.993062,34.424172
176,20.188076,36.883484
177,-16.555353,34.946934
178,5.845641,56.244452
179,-0.292664,38.142271
180,35.637185,31.080820
181,31.524852,33.333079
182,12.941347,32.887960
183,31.683861,44.662862
184,-12.809561,47.097490
185,-5.372600,54.122403
186,-8.002687,65.110579
187,24.523520,37.558400
188,-16.295844,33.350433
189,35.328583,46.503964
190,6.901623,59.741977
191,-3.910296,52.466306
192,14.948618,30.948305
193,4.146765,49.428892
194,3.465284,57.333707
195,-3.557463,46.189190
196,2.321971,46.636823
197,5.845357,62.419094
198,-11.596753,49.937170
199,25.069734,37.451425
200,-2.639826,68.574229
201,-16.222066,48.874278
202,10.578662,53.040528
203,-1.414362,58.748112
204,9.932235,37.522112
205,4.071239,53.260214
206,6.843802,57.058123
207,30.409513,43.176967
208,1.619258,60.834764
209,-14.611221,47.886021
210,4.998414,56.015048
211,-4.045803,58.763111
212,35.861605,38.857141
213,20.603862,37.853592
214,5.475374,48.391251
215,3.638916,66.179442
216,-9.191058,54.216041
217,0.978303,52.265526
218,11.170294,42.897087
219,-4.429857,53.843181
220,28.476370,29.518519
221,23.951336,38.602018
222,23.748494,59.383768
223,-2.046459,38.180363
224,-11.983280,44.086136
225,22.159828,58.628505
226,0.937940,63.193717
227,28.058720,46.344053
228,11.622390,46.219582
229,13.035361,53.322795
230,3.148920,60.833005
231,12.752977,36.650336
232,33.870818,36.091658
233,4.807647,45.645228
234,22.656000,61.084036
235,20.575374,51.396942
236,22.802013,37.564955
237,-16.220414,40.547793
238,18.554396,65.395042
239,33.704737,40.597973
240,28.832941,44.069413
241,25.951310,48.510947
242,41.713590,45.649566
243,8.344909,43.502919
244,18.825577,34.863912
245,8.928984,43.719931
246,40.954530,44.463966
247,-7.149630,37.608722
248,6.870398,50.082970
249,-8.709667,67.677646
250,-7.648708,33.664803
251,22.519993,38.640262
252,13.109736,58.171167
253,3.988680,47.477545
254,-7.893204,59.546595
255,13.852758,33.421595
256,-7.720401,63.260104
257,13.553364,64.038269
258,13.480475,51.010415
259,4.030448,59.766739
260,3.677635,38.106960
261,27.484732,37.682837
262,21.180342,37.883328
263,22.480824,59.606494
264,-5.884192,36.984748
265,-0.680736,45.375379
266,1.474677,51.351684
267,-4.788588,66.919556
268,20.416996,42.909842
269,-15.290368,53.159015
270,36.882329,46.147764
271,29.519550,62.900131
272,0.252363,45.683723
273,-12.729356,39.560601
274,25.206494,31.073058
275,3.293060,42.401538
276,13.693581,52.421074
277,24.790652,48.028406
278,35.730267,44.758726
279,-11.315208,67.681684
280,-12.233901,50.400262
281,8.950586,65.879463
282,-12.503491,39.947553
283,6.520026,42.682309
284,-10.433147,58.073998
285,-16.305297,44.777364
286,38.870211,45.464181
287,21.417463,61.342114
288,-11.462443,31.054662
289,-11.266404,52.770001
290,37.862683,44.664326
291,40.951355,36.484259
292,5.961588,67.748218
293,0.883412,64.390781
294,8.260301,53.576125
295,0.157884,40.018094
296,-10.275148,34.211083
297,19.440456,54.496730
298,-4.510994,35.640524
299,37.737530,41.667363
300,-3.712970,46.209845
301,-0.365943,56.112410
302,20.303568,51.024340
303,11.412214,38.894417
