wkt_geom;ID;XCOORD;YCOORD
POINT(5.50759603058998337 54.8862693765403904);0;5.507596;54.886269
POINT(10.19551651482257881 54.74967266850384817);1;10.195517;54.749673
POINT(-0.6978255398104718 65.11551960143656004);2;-0.697826;65.11552
POINT(0.06103018629830981 62.57535154289828228);3;0.06103;62.575352
POINT(3.41854165826221745 53.94090502115345487);4;3.418542;53.940905
POINT(3.88518953366649988 54.39856490545197687);5;3.88519;54.398565
POINT(2.17824778884371817 64.07481375112240585);6;2.178248;64.074814
POINT(2.99066180326500408 61.10379584912047335);7;2.990662;61.103796
POINT(16.04229700138836279 54.95688210309599953);8;16.042297;54.956882
POINT(20.54497864707470711 58.29877214827131127);9;20.544979;58.298772
POINT(-3.11290468175433643 64.17442166955167693);10;-3.112905;64.174422
POINT(0.01457414550202696 58.71075398088056119);11;0.014574;58.710754
POINT(-1.17980430369029232 58.45314869274655933);12;-1.179804;58.453149
POINT(-3.43088501592500794 59.23961810387788773);13;-3.430885;59.239618
POINT(2.50842498008450399 63.62991874704776052);14;2.508425;63.629919
POINT(6.1398097588245566 56.38957457407099838);15;6.13981;56.389575
POINT(2.02123497658225748 55.04656779097926034);16;2.021235;55.046568
POINT(-2.6364024617980375 62.10466858771571452);17;-2.636402;62.104669
POINT(-4.46718824989271379 63.13718561637409721);18;-4.467188;63.137186
POINT(17.74535105641274413 57.71868602689713157);19;17.745351;57.718686
POINT(20.52994756703247603 59.57873417342526068);20;20.529948;59.578734
POINT(3.67737251829302636 60.46637892039615281);21;3.677373;60.466379
POINT(0.52798254191224281 54.1216944474853392);22;0.527983;54.121694
POINT(2.7488194968099382 53.23000973334873009);23;2.748819;53.23001
POINT(-1.45829345427483537 57.14508525063034483);24;-1.458293;57.145085
POINT(3.34640413833580475 55.59298183520539283);25;3.346404;55.592982
POINT(5.67231872156636285 54.99039843589311971);26;5.672319;54.990398
POINT(20.82182251416833907 59.36408804686781338);27;20.821823;59.364088
POINT(1.6360857714835797 53.79192870874579313);28;1.636086;53.791929
POINT(1.85298273736128483 56.81090273682999481);29;1.852983;56.810903
POINT(5.22728780175851959 58.04120131152539841);30;5.227288;58.041201
POINT(-0.40338239785853158 63.27909026289951555);31;-0.403382;63.27909
POINT(2.44360629264105 64.39162390970868444);32;2.443606;64.391624
POINT(4.77188846742135375 56.10574095670965988);33;4.771888;56.105741
POINT(-1.28548168227772353 62.67056568567401342);34;-1.285482;62.670566
POINT(2.30645749337151784 54.39377061312018924);35;2.306457;54.393771
POINT(10.76090702266792931 54.66807984601003767);36;10.760907;54.66808
POINT(2.62881056070845887 64.16274988880387298);37;2.628811;64.16275
POINT(-2.57583726104616906 59.75950257315776071);38;-2.575837;59.759503
POINT(2.37372211680272027 55.76320995073265863);39;2.373722;55.76321
POINT(19.78789609811427397 55.1167857679208737);40;19.787896;55.116786
POINT(0.6845646437954036 58.37260777539380285);41;0.684565;58.372608
POINT(0.79894476142351856 54.5909921426416318);42;0.798945;54.590992
POINT(10.30682713096144099 54.94979202021183795);43;10.306827;54.949792
POINT(9.33394579316497719 57.36511713090015974);44;9.333946;57.365117
POINT(1.52684343162518843 63.72916700828597669);45;1.526843;63.729167
POINT(-0.84610787182122404 57.18053028215324929);46;-0.846108;57.18053
POINT(2.77687332876226023 56.23214151088612311);47;2.776873;56.232142
POINT(-3.45081604034271372 64.03518498011175097);48;-3.450816;64.035185
POINT(0.91651314988840582 58.00276785205841179);49;0.916513;58.002768
POINT(2.83394854729341894 53.80973078278240962);50;2.833949;53.809731
POINT(3.86713890068423538 53.98021319589842903);51;3.867139;53.980213
POINT(0.51657235363128162 54.91689690835363535);52;0.516572;54.916897
POINT(7.03939213305958233 57.23676842991838498);53;7.039392;57.236768
POINT(1.39474160973553474 65.33748066086636186);54;1.394742;65.337481
POINT(1.73678167734327982 55.38444970769566567);55;1.736782;55.38445
POINT(3.67741593540968204 57.9543976298711172);56;3.677416;57.954398
POINT(-0.55719700118881033 58.83419644777649182);57;-0.557197;58.834196
POINT(-3.72340531389145069 61.64086023137318904);58;-3.723405;61.64086
POINT(2.69119368232590883 60.22199344644756991);59;2.691194;60.221993
POINT(-3.98585222319440469 61.85484681201488399);60;-3.985852;61.854847
POINT(2.80267958323817368 52.96311024031196268);61;2.80268;52.96311
POINT(0.12517502417296544 63.94998275808023891);62;0.125175;63.949983
POINT(14.51275049542474704 54.9391134373511818);63;14.51275;54.939113
POINT(1.1699813632731475 64.98194581433682515);64;1.169981;64.981946
POINT(2.71548340970682744 56.41986774677486238);65;2.715483;56.419868
POINT(-1.44548084087808526 63.03610363611410605);66;-1.445481;63.036104
POINT(-1.10234924661610556 64.05013567716555656);67;-1.102349;64.050136
POINT(0.78669443526926397 63.27683003774728832);68;0.786694;63.27683
POINT(-1.67456256897278788 62.55740595190123798);69;-1.674563;62.557406
POINT(6.4927216143201214 56.68906885994855571);70;6.492722;56.689069
POINT(8.17439843371722397 56.82438494902513781);71;8.174398;56.824385
POINT(3.67672460147201896 59.1080610678410423);72;3.676725;59.108061
POINT(3.38199358636500946 61.67172350734017527);73;3.381994;61.671724
POINT(0.85393876685133208 62.63086373056037814);74;0.853939;62.630864
POINT(11.15883806345191687 55.51200689695979662);75;11.158838;55.512007
POINT(3.30140505628032344 52.45738347138992452);76;3.301405;52.457383
POINT(-0.11121493871154176 65.93967442950184932);77;-0.111215;65.939674
POINT(3.3848831698220021 54.43803862137908567);78;3.384883;54.438039
POINT(-1.65423102978986636 65.08396270348217172);79;-1.654231;65.083963
POINT(-3.77850400305709 62.76319259164336728);80;-3.778504;62.763193
