gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1544651870;Austrominius modestus;absent;50.80645;-0.0925;1000;;;2004-09-01T00:00:00Z
1544653562;Austrominius modestus;absent;50.8007;-1.11448;1000;;;2004-09-02T00:00:00Z
1544653460;Austrominius modestus;absent;50.60536;-2.4465;1000;;;2004-09-05T00:00:00Z
1544652374;Austrominius modestus;absent;50.46126;-3.52997;1000;;;2004-09-06T00:00:00Z
1544653356;Austrominius modestus;absent;50.46126;-3.52997;1000;;;2006-02-14T00:00:00Z
1544651490;Austrominius modestus;absent;50.3987;-3.49981;1000;;;2006-02-14T00:00:00Z
1544652429;Austrominius modestus;absent;50.25112;-3.76169;1000;;;2006-02-16T00:00:00Z
1544652903;Austrominius modestus;absent;50.16044;-5.08853;1000;;;2006-02-17T00:00:00Z
1544652043;Austrominius modestus;absent;50.6143;-2.46071;1000;;;2006-02-21T00:00:00Z
1544651679;Austrominius modestus;absent;50.60536;-2.4465;1000;;;2006-02-21T00:00:00Z
1544651740;Austrominius modestus;absent;50.61552;-3.42188;1000;;;2006-02-22T00:00:00Z
1544653656;Austrominius modestus;absent;50.3987;-3.49981;1000;;;2006-07-04T00:00:00Z
1544653595;Austrominius modestus;absent;50.46126;-3.52997;1000;;;2006-07-04T00:00:00Z
1544653493;Austrominius modestus;absent;50.25112;-3.76169;1000;;;2006-07-06T00:00:00Z
1544652497;Austrominius modestus;absent;50.16044;-5.08853;1000;;;2006-07-07T00:00:00Z
1544651187;Austrominius modestus;absent;50.60536;-2.4465;1000;;;2006-07-10T00:00:00Z
1544652300;Austrominius modestus;absent;51.39645;0.56449;1000;;;2009-10-05T00:00:00Z
1544653160;Austrominius modestus;absent;51.117;1.30639;1000;;;2009-10-06T00:00:00Z
1544653550;Austrominius modestus;absent;50.85599;-1.31233;1000;;;2009-10-08T00:00:00Z
1544653132;Austrominius modestus;absent;53.74139;-0.34124;1000;;;2009-11-17T00:00:00Z
1544652181;Austrominius modestus;absent;50.74791;-1.28557;1000;;;2009-12-04T00:00:00Z
1544653127;Austrominius modestus;absent;50.84555;-1.09943;1000;;;2009-12-06T00:00:00Z
1544651658;Austrominius modestus;absent;50.46126;-3.52997;1000;;;2010-07-15T00:00:00Z
1544653162;Austrominius modestus;absent;50.3987;-3.49981;1000;;;2011-03-21T00:00:00Z
1544653158;Austrominius modestus;absent;50.8007;-1.11448;1000;;;2011-06-18T00:00:00Z
1544653204;Austrominius modestus;absent;54.91956;-1.36968;1000;;;2012-05-15T00:00:00Z
1544652743;Austrominius modestus;absent;54.99183;-1.4467;1000;;;2012-05-15T00:00:00Z
1554481258;Austrominius modestus;absent;53.32017;-4.642309;100;;;2014-06-11T00:00:00Z
1554481658;Austrominius modestus;absent;51.45742;-3.172728;100;;;2014-07-01T00:00:00Z
1554481639;Austrominius modestus;absent;51.44443;-3.173546;100;;;2014-07-01T00:00:00Z
1554481459;Austrominius modestus;absent;51.44727;-3.184298;100;;;2014-07-01T00:00:00Z
1554481596;Austrominius modestus;absent;51.61492;-3.938093;100;;;2014-07-02T00:00:00Z
1889281196;Austrominius modestus;absent;;;;;;2016-10-16T00:00:00Z
