gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1544653575;Bugula neritina;absent;50.16044;-5.08853;1000;;;2006-07-07T00:00:00Z
1544652967;Bugula neritina;absent;50.21617;-5.02204;1000;;;2010-06-29T00:00:00Z
1544651426;Bugula neritina;absent;50.25112;-3.76169;1000;;;2006-07-06T00:00:00Z
1544653610;Bugula neritina;absent;50.35282;-3.56865;1000;;;2006-02-15T00:00:00Z
1544652913;Bugula neritina;absent;50.35282;-3.56865;1000;;;2009-09-16T00:00:00Z
1544652294;Bugula neritina;absent;50.35282;-3.56865;1000;;;2009-07-27T00:00:00Z
1544651259;Bugula neritina;absent;50.35282;-3.56865;1000;;;2006-07-05T00:00:00Z
1544653491;Bugula neritina;absent;50.36108;-4.1735;1000;;;2009-07-07T00:00:00Z
1544652225;Bugula neritina;absent;50.36108;-4.1735;1000;;;2010-07-16T00:00:00Z
1544652070;Bugula neritina;absent;50.36108;-4.1735;1000;;;2009-09-15T00:00:00Z
1544651352;Bugula neritina;absent;50.36108;-4.1735;1000;;;2006-08-06T00:00:00Z
1544651223;Bugula neritina;absent;50.36108;-4.1735;1000;;;2006-03-07T00:00:00Z
1544652486;Bugula neritina;absent;50.36186;-4.13135;1000;;;2006-02-13T00:00:00Z
1544651807;Bugula neritina;absent;50.36186;-4.13135;1000;;;2006-08-05T00:00:00Z
1544653639;Bugula neritina;absent;50.36211;-4.1173;1000;;;2006-08-05T00:00:00Z
1544653133;Bugula neritina;absent;50.36211;-4.1173;1000;;;2012-03-01T00:00:00Z
1544652684;Bugula neritina;absent;50.3698;-4.18796;1000;;;2010-07-16T00:00:00Z
1544652621;Bugula neritina;absent;50.37135;-4.10365;1000;;;2010-09-21T00:00:00Z
1544653212;Bugula neritina;absent;50.3987;-3.49981;1000;;;2006-07-04T00:00:00Z
1544651921;Bugula neritina;absent;50.46126;-3.52997;1000;;;2006-07-04T00:00:00Z
1544653208;Bugula neritina;absent;50.60536;-2.4465;1000;;;2006-07-10T00:00:00Z
1544653064;Bugula neritina;absent;50.6143;-2.46071;1000;;;2004-09-05T00:00:00Z
1544651710;Bugula neritina;absent;50.6143;-2.46071;1000;;;2006-02-21T00:00:00Z
1544651332;Bugula neritina;absent;50.6143;-2.46071;1000;;;2006-07-10T00:00:00Z
1544652892;Bugula neritina;absent;50.61552;-3.42188;1000;;;2004-09-06T00:00:00Z
1544652454;Bugula neritina;absent;50.61552;-3.42188;1000;;;2006-07-12T00:00:00Z
1544652077;Bugula neritina;absent;50.61552;-3.42188;1000;;;2009-07-08T00:00:00Z
1544651626;Bugula neritina;absent;50.61552;-3.42188;1000;;;2006-02-22T00:00:00Z
1544653648;Bugula neritina;absent;50.74914;-1.52652;1000;;;2011-06-20T00:00:00Z
1544652942;Bugula neritina;absent;50.88288;-1.29772;1000;;;2009-12-05T00:00:00Z
1544652395;Bugula neritina;absent;51.117;1.30639;1000;;;2009-10-06T00:00:00Z
1544652896;Bugula neritina;absent;51.18322;-3.32482;1000;;;2007-04-19T00:00:00Z
1544651302;Bugula neritina;absent;51.18322;-3.32482;1000;;;2009-11-16T00:00:00Z
1544651720;Bugula neritina;absent;51.32955;1.42217;1000;;;2009-10-06T00:00:00Z
1544652480;Bugula neritina;absent;51.39645;0.56449;1000;;;2009-10-05T00:00:00Z
1554481618;Bugula neritina;absent;51.44443;-3.173546;100;;;2014-07-01T00:00:00Z
1554481138;Bugula neritina;absent;51.44727;-3.184298;100;;;2014-07-01T00:00:00Z
1554480821;Bugula neritina;absent;51.45742;-3.172728;100;;;2014-07-01T00:00:00Z
1554481814;Bugula neritina;absent;51.61492;-3.938093;100;;;2014-07-02T00:00:00Z
1554481665;Bugula neritina;absent;51.6177;-3.931508;100;;;2014-07-02T00:00:00Z
1554480881;Bugula neritina;absent;51.67955;-4.248364;100;;;2014-07-02T00:00:00Z
1554480753;Bugula neritina;absent;51.71014;-4.940949;100;;;2014-07-03T00:00:00Z
1554481602;Bugula neritina;absent;52.40955;-4.085943;100;;;2014-06-13T00:00:00Z
1554480976;Bugula neritina;absent;52.88626;-4.406251;100;;;2014-06-12T00:00:00Z
1544651734;Bugula neritina;absent;52.95468;0.84931;1000;;;2009-11-18T00:00:00Z
1554480899;Bugula neritina;absent;53.14293;-4.275335;100;;;2014-06-12T00:00:00Z
1554481299;Bugula neritina;absent;53.18564;-4.20896;100;;;2014-06-12T00:00:00Z
1554481357;Bugula neritina;absent;53.29125;-3.826334;100;;;2014-06-11T00:00:00Z
1554481880;Bugula neritina;absent;53.29146;-3.838693;100;;;2014-06-11T00:00:00Z
1544652257;Bugula neritina;absent;53.39825;-2.98654;1000;;;2012-02-06T00:00:00Z
1544653010;Bugula neritina;absent;53.57537;-0.06077;1000;;;2012-05-16T00:00:00Z
1544652886;Bugula neritina;absent;53.57537;-0.06077;1000;;;2009-11-17T00:00:00Z
1544651427;Bugula neritina;absent;53.74139;-0.34124;1000;;;2009-11-17T00:00:00Z
1544652599;Bugula neritina;absent;53.91935;-3.01402;1000;;;2012-05-14T00:00:00Z
1544652830;Bugula neritina;absent;54.28126;-0.38107;1000;;;2012-05-16T00:00:00Z
1544652643;Bugula neritina;absent;54.69391;-1.20252;1000;;;2012-05-15T00:00:00Z
1544651527;Bugula neritina;absent;54.91956;-1.36968;1000;;;2012-05-15T00:00:00Z
1544653310;Bugula neritina;absent;54.99183;-1.4467;1000;;;2012-05-15T00:00:00Z
