gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1544651357;Styela clava;absent;50.6143;-2.46071;1000;;;2004-09-05T00:00:00Z
1544652792;Styela clava;absent;50.35282;-3.56865;1000;;;2006-02-15T00:00:00Z
1544653414;Styela clava;absent;50.3987;-3.49981;1000;;;2006-07-04T00:00:00Z
1544651220;Styela clava;absent;50.46126;-3.52997;1000;;;2006-07-04T00:00:00Z
1544653144;Styela clava;absent;50.35282;-3.56865;1000;;;2006-07-05T00:00:00Z
1544652491;Styela clava;absent;50.25112;-3.76169;1000;;;2006-07-06T00:00:00Z
1544653250;Styela clava;absent;50.16044;-5.08853;1000;;;2006-07-07T00:00:00Z
1544653014;Styela clava;absent;50.6143;-2.46071;1000;;;2006-07-10T00:00:00Z
1544651892;Styela clava;absent;50.60536;-2.4465;1000;;;2006-07-10T00:00:00Z
1544652278;Styela clava;absent;50.71413;-1.98012;1000;;;2006-07-11T00:00:00Z
1544652959;Styela clava;absent;50.61552;-3.42188;1000;;;2006-07-12T00:00:00Z
1544652378;Styela clava;absent;51.18322;-3.32482;1000;;;2007-04-19T00:00:00Z
1544651188;Styela clava;absent;51.39645;0.56449;1000;;;2009-10-05T00:00:00Z
1544652297;Styela clava;absent;50.78973;0.33248;1000;;;2009-10-06T00:00:00Z
1544651458;Styela clava;absent;50.60536;-2.4465;1000;;;2009-10-09T00:00:00Z
1544652604;Styela clava;absent;51.18322;-3.32482;1000;;;2009-11-16T00:00:00Z
1544652088;Styela clava;absent;53.74139;-0.34124;1000;;;2009-11-17T00:00:00Z
1544653670;Styela clava;absent;52.95468;0.84931;1000;;;2009-11-18T00:00:00Z
1544652408;Styela clava;absent;50.91034;-1.38265;1000;;;2009-12-05T00:00:00Z
1544653647;Styela clava;absent;50.84555;-1.09943;1000;;;2009-12-06T00:00:00Z
1544651809;Styela clava;absent;50.1522;-5.06;1000;;;2010-07-14T00:00:00Z
1544651948;Styela clava;absent;50.37135;-4.10365;1000;;;2010-09-21T00:00:00Z
1544653091;Styela clava;absent;50.1522;-5.06;1000;;;2011-03-28T00:00:00Z
1544651971;Styela clava;absent;50.79103;-1.02954;1000;;;2011-06-17T00:00:00Z
1544651841;Styela clava;absent;50.1522;-5.06;1000;;;2012-02-27T00:00:00Z
1544653308;Styela clava;absent;54.69391;-1.20252;1000;;;2012-05-15T00:00:00Z
1544653021;Styela clava;absent;54.91956;-1.36968;1000;;;2012-05-15T00:00:00Z
1544651814;Styela clava;absent;54.99183;-1.4467;1000;;;2012-05-15T00:00:00Z
1544653660;Styela clava;absent;54.28126;-0.38107;1000;;;2012-05-16T00:00:00Z
2244390019;Styela clava;absent;58.643337;-3.148941;1000;;;2012-07-01T00:00:00Z
2244388705;Styela clava;absent;58.610874;-3.546061;500;;;2012-07-01T00:00:00Z
2244388477;Styela clava;absent;58.917366;-3.184443;500;;;2012-07-01T00:00:00Z
2244388419;Styela clava;absent;58.833159;-3.192915;500;;;2012-07-01T00:00:00Z
2244388067;Styela clava;absent;58.998539;-2.975644;500;;;2012-07-01T00:00:00Z
2244388054;Styela clava;absent;58.441312;-3.083592;500;;;2012-07-01T00:00:00Z
2244387937;Styela clava;absent;58.294835;-3.289573;500;;;2012-07-01T00:00:00Z
2244387922;Styela clava;absent;58.457264;-5.050432;500;;;2012-07-01T00:00:00Z
2244387409;Styela clava;absent;57.684814;-4.173146;500;;;2012-07-01T00:00:00Z
2244389592;Styela clava;absent;57.754429;-3.910092;200;;;2012-07-01T00:00:00Z
2244389348;Styela clava;absent;58.961738;-3.298308;200;;;2012-07-01T00:00:00Z
2244389133;Styela clava;absent;58.957025;-2.971307;200;;;2012-07-01T00:00:00Z
2244389126;Styela clava;absent;58.987306;-2.957317;200;;;2012-07-01T00:00:00Z
2244388818;Styela clava;absent;58.800608;-3.205677;200;;;2012-07-01T00:00:00Z
2244388482;Styela clava;absent;58.114871;-3.648095;200;;;2012-07-01T00:00:00Z
2244388425;Styela clava;absent;57.683094;-4.038446;200;;;2012-07-01T00:00:00Z
2244388049;Styela clava;absent;58.895327;-2.911822;200;;;2012-07-01T00:00:00Z
2244387800;Styela clava;absent;58.670091;-3.117578;200;;;2012-07-01T00:00:00Z
