gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1544652393;Undaria pinnatifida;absent;50.71413;-1.98012;1000;;;2004-09-04T00:00:00Z
1544653148;Undaria pinnatifida;absent;50.6143;-2.46071;1000;;;2004-09-05T00:00:00Z
1544653124;Undaria pinnatifida;absent;50.60536;-2.4465;1000;;;2004-09-05T00:00:00Z
1544652349;Undaria pinnatifida;absent;50.61552;-3.42188;1000;;;2004-09-06T00:00:00Z
1544651208;Undaria pinnatifida;absent;50.16044;-5.08853;1000;;;2004-09-07T00:00:00Z
1544651752;Undaria pinnatifida;absent;50.3987;-3.49981;1000;;;2006-02-14T00:00:00Z
1544651664;Undaria pinnatifida;absent;50.35282;-3.56865;1000;;;2006-02-15T00:00:00Z
1544652445;Undaria pinnatifida;absent;50.16044;-5.08853;1000;;;2006-02-17T00:00:00Z
1544653499;Undaria pinnatifida;absent;50.60536;-2.4465;1000;;;2006-02-21T00:00:00Z
1544651531;Undaria pinnatifida;absent;50.6143;-2.46071;1000;;;2006-02-21T00:00:00Z
1544651640;Undaria pinnatifida;absent;50.61552;-3.42188;1000;;;2006-02-22T00:00:00Z
1544652366;Undaria pinnatifida;absent;50.36211;-4.1173;1000;;;2006-04-24T00:00:00Z
1544652602;Undaria pinnatifida;absent;50.3987;-3.49981;1000;;;2006-07-04T00:00:00Z
1544652301;Undaria pinnatifida;absent;50.46126;-3.52997;1000;;;2006-07-04T00:00:00Z
1544652381;Undaria pinnatifida;absent;50.35282;-3.56865;1000;;;2006-07-05T00:00:00Z
1544652528;Undaria pinnatifida;absent;50.25112;-3.76169;1000;;;2006-07-06T00:00:00Z
1544652143;Undaria pinnatifida;absent;50.16044;-5.08853;1000;;;2006-07-07T00:00:00Z
1544652963;Undaria pinnatifida;absent;50.60536;-2.4465;1000;;;2006-07-10T00:00:00Z
1544652921;Undaria pinnatifida;absent;50.6143;-2.46071;1000;;;2006-07-10T00:00:00Z
1544652012;Undaria pinnatifida;absent;50.71413;-1.98012;1000;;;2006-07-11T00:00:00Z
1544652502;Undaria pinnatifida;absent;50.61552;-3.42188;1000;;;2006-07-12T00:00:00Z
1544653236;Undaria pinnatifida;absent;50.36211;-4.1173;1000;;;2006-08-05T00:00:00Z
1544651431;Undaria pinnatifida;absent;50.36186;-4.13135;1000;;;2006-08-05T00:00:00Z
1544651322;Undaria pinnatifida;absent;50.36108;-4.1735;1000;;;2006-08-06T00:00:00Z
1544651523;Undaria pinnatifida;absent;51.18322;-3.32482;1000;;;2007-04-19T00:00:00Z
1544653557;Undaria pinnatifida;absent;51.39645;0.56449;1000;;;2009-10-05T00:00:00Z
1544651611;Undaria pinnatifida;absent;51.40606;0.53627;1000;;;2009-10-05T00:00:00Z
1544652923;Undaria pinnatifida;absent;50.78973;0.33248;1000;;;2009-10-06T00:00:00Z
1544652694;Undaria pinnatifida;absent;50.79103;-1.02954;1000;;;2009-10-07T00:00:00Z
1544652191;Undaria pinnatifida;absent;50.79171;-1.11465;1000;;;2009-10-08T00:00:00Z
1544651585;Undaria pinnatifida;absent;50.74914;-1.52652;1000;;;2009-10-08T00:00:00Z
1544653089;Undaria pinnatifida;absent;50.60536;-2.4465;1000;;;2009-10-09T00:00:00Z
1544651731;Undaria pinnatifida;absent;51.18322;-3.32482;1000;;;2009-11-16T00:00:00Z
1544651861;Undaria pinnatifida;absent;53.74139;-0.34124;1000;;;2009-11-17T00:00:00Z
1544653224;Undaria pinnatifida;absent;52.47105;1.74578;1000;;;2009-11-18T00:00:00Z
1544653073;Undaria pinnatifida;absent;52.95468;0.84931;1000;;;2009-11-18T00:00:00Z
1544651791;Undaria pinnatifida;absent;51.7587;0.84583;1000;;;2009-11-19T00:00:00Z
1544651712;Undaria pinnatifida;absent;51.99953;1.26907;1000;;;2009-11-19T00:00:00Z
1544653167;Undaria pinnatifida;absent;50.75813;-1.52643;1000;;;2009-12-03T00:00:00Z
1544651252;Undaria pinnatifida;absent;50.91034;-1.38265;1000;;;2009-12-05T00:00:00Z
1544651715;Undaria pinnatifida;absent;50.84555;-1.09943;1000;;;2009-12-06T00:00:00Z
1544653380;Undaria pinnatifida;absent;50.21617;-5.02204;1000;;;2010-06-29T00:00:00Z
1544652180;Undaria pinnatifida;absent;50.1522;-5.06;1000;;;2010-07-14T00:00:00Z
1544652161;Undaria pinnatifida;absent;50.1522;-5.06;1000;;;2010-07-14T00:00:00Z
