gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1554481656;Urosalpinx cinerea;absent;53.18564;-4.20896;100;;;2014-06-12T00:00:00Z
1554481624;Urosalpinx cinerea;absent;51.44443;-3.173546;100;;;2014-07-01T00:00:00Z
1554481608;Urosalpinx cinerea;absent;53.29146;-3.838693;100;;;2014-06-11T00:00:00Z
1554481567;Urosalpinx cinerea;absent;51.71105;-5.036906;100;;;2014-07-03T00:00:00Z
1554481499;Urosalpinx cinerea;absent;52.40955;-4.085943;100;;;2014-06-13T00:00:00Z
1554481407;Urosalpinx cinerea;absent;51.67955;-4.248364;100;;;2014-07-02T00:00:00Z
1554481406;Urosalpinx cinerea;absent;51.44727;-3.184298;100;;;2014-07-01T00:00:00Z
1554481378;Urosalpinx cinerea;absent;51.6177;-3.931508;100;;;2014-07-02T00:00:00Z
1554481166;Urosalpinx cinerea;absent;53.14293;-4.275335;100;;;2014-06-12T00:00:00Z
1554481159;Urosalpinx cinerea;absent;51.45742;-3.172728;100;;;2014-07-01T00:00:00Z
1554480991;Urosalpinx cinerea;absent;51.71014;-4.940949;100;;;2014-07-03T00:00:00Z
1554480849;Urosalpinx cinerea;absent;51.61492;-3.938093;100;;;2014-07-02T00:00:00Z
1554480810;Urosalpinx cinerea;absent;53.32017;-4.642309;100;;;2014-06-11T00:00:00Z
1554480751;Urosalpinx cinerea;absent;53.29125;-3.826334;100;;;2014-06-11T00:00:00Z
1554480739;Urosalpinx cinerea;absent;52.88626;-4.406251;100;;;2014-06-12T00:00:00Z
