gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
911469770;Acipenser gueldenstaedtii;present;54.793176;11.565198;5000;;;2005-01-01T00:00:00Z
1570656870;Acipenser gueldenstaedtii;present;51.33355;4.25182;100;;;2005-08-29T00:00:00Z
911468650;Acipenser gueldenstaedtii;present;55.697239;11.305815;5000;;;2006-01-01T00:00:00Z
1133939144;Acipenser gueldenstaedtii;present;41.31149;21.98017;;;;2006-08-01T00:00:00Z
1964263777;Acipenser gueldenstaedtii;present;52.55;5.85;5000;;;2007-04-27T00:00:00Z
911464871;Acipenser gueldenstaedtii;present;55.080809;10.486852;5000;;;2008-01-01T00:00:00Z
1570656883;Acipenser gueldenstaedtii;present;50.92389;4.1396;10;;;2008-05-09T00:00:00Z
1963653701;Acipenser gueldenstaedtii;present;53.15;6.3;5000;;;2008-07-31T00:00:00Z
911468654;Acipenser gueldenstaedtii;present;55.697239;11.305815;5000;;;2009-01-01T00:00:00Z
911479057;Acipenser gueldenstaedtii;present;55.780626;12.367482;5000;;;2009-01-01T00:00:00Z
856236394;Acipenser gueldenstaedtii;present;64.859255;21.230918;200;;;2009-06-16T18:00:00Z
1415590723;Acipenser gueldenstaedtii;present;49.085;14.36;;;;2009-12-17T00:00:00Z
2311133211;Acipenser gueldenstaedtii;present;49.09;14.36;;;;2009-12-17T00:00:00Z
2308863064;Acipenser gueldenstaedtii;present;49.09;14.36;;;;2009-12-17T00:00:00Z
2308128900;Acipenser gueldenstaedtii;present;49.09;14.36;;;;2009-12-17T00:00:00Z
2307286068;Acipenser gueldenstaedtii;present;49.09;14.36;;;;2009-12-17T00:00:00Z
911464893;Acipenser gueldenstaedtii;present;55.080809;10.486852;5000;;;2010-01-01T00:00:00Z
911477355;Acipenser gueldenstaedtii;present;55.687384;12.21483;5000;;;2010-01-01T00:00:00Z
911488145;Acipenser gueldenstaedtii;present;55.988414;8.91853;5000;;;2010-01-01T00:00:00Z
1676574948;Acipenser gueldenstaedtii;present;54.576141;8.542213;25;;;2010-03-23T00:00:00Z
911464923;Acipenser gueldenstaedtii;present;55.080809;10.486852;5000;;;2011-01-01T00:00:00Z
911488708;Acipenser gueldenstaedtii;present;55.629008;8.919278;5000;;;2011-01-01T00:00:00Z
911477383;Acipenser gueldenstaedtii;present;55.687384;12.21483;5000;;;2011-01-01T00:00:00Z
911479645;Acipenser gueldenstaedtii;present;55.690883;12.373481;5000;;;2011-01-01T00:00:00Z
894898839;Acipenser gueldenstaedtii;present;51.11896;4.26525;250;;;2011-11-10T00:00:00Z
1570656868;Acipenser gueldenstaedtii;present;50.93611;5.49427;100;;;2011-11-10T00:00:00Z
1570656877;Acipenser gueldenstaedtii;present;50.93638;5.49816;10;;;2011-11-10T00:00:00Z
911477371;Acipenser gueldenstaedtii;present;55.687384;12.21483;5000;;;2012-01-01T00:00:00Z
911479663;Acipenser gueldenstaedtii;present;55.690883;12.373481;5000;;;2012-01-01T00:00:00Z
1570656882;Acipenser gueldenstaedtii;present;51.0177;4.51767;10;;;2012-05-14T00:00:00Z
1957955780;Acipenser gueldenstaedtii;present;52.7;5.25;5000;;;2012-05-23T00:00:00Z
1956909842;Acipenser gueldenstaedtii;present;52.6;4.7;5000;;;2012-12-02T00:00:00Z
890229007;Acipenser gueldenstaedtii;present;52.40053;4.822916;100;;;2012-12-22T00:00:00Z
1570656865;Acipenser gueldenstaedtii;present;51.25399;5.4157;10;;;2013-03-11T00:00:00Z
2311130053;Acipenser gueldenstaedtii;present;50.05;8.9;;;;2013-05-13T00:00:00Z
2250374211;Acipenser gueldenstaedtii;present;50.0545;8.89611;;;;2013-05-13T00:00:00Z
2308813073;Acipenser gueldenstaedtii;present;50.05;8.9;;;;2013-05-17T00:00:00Z
1337875121;Acipenser gueldenstaedtii;present;53.201233;9.200271;250;;;2014-04-04T00:00:00Z
1570656906;Acipenser gueldenstaedtii;present;51.16385;5.59481;10;;;2014-07-04T00:00:00Z
1338051491;Acipenser gueldenstaedtii;present;53.201233;9.200271;250;;;2014-11-06T00:00:00Z
1951603173;Acipenser gueldenstaedtii;present;53.15;6.1;5000;;;2014-12-14T00:00:00Z
1977701241;Acipenser gueldenstaedtii;present;53.05;6.8;5000;;;2015-03-24T00:00:00Z
1976560483;Acipenser gueldenstaedtii;present;51.75;5.7;5000;;;2015-07-19T00:00:00Z
1976556575;Acipenser gueldenstaedtii;present;51.75;5.7;5000;;;2015-07-19T00:00:00Z
1974705331;Acipenser gueldenstaedtii;present;51.75;5.7;5000;;;2015-07-19T00:00:00Z
1976425330;Acipenser gueldenstaedtii;present;53.4;6.85;5000;;;2015-08-02T00:00:00Z
1973175920;Acipenser gueldenstaedtii;present;52.2;4.95;5000;;;2016-07-03T00:00:00Z
1570656910;Acipenser gueldenstaedtii;present;51.02278;4.51194;100;;;2016-07-29T00:00:00Z
1971934469;Acipenser gueldenstaedtii;present;51;5.8;5000;;;2016-12-07T00:00:00Z
1971346874;Acipenser gueldenstaedtii;present;52.2;4.95;5000;;;2017-02-24T00:00:00Z
