gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
695201275;Admete viridula;present;51.291594;4.261286;;;;2001-03-31T00:00:00Z
1099474787;Admete viridula;present;60.45;-5;;1000;180;2001-06-08T00:00:00Z
2412138984;Admete viridula;present;79.571552;10.879901;200;;;2001-09-16T00:00:00Z
1099470856;Admete viridula;present;69.700667;19.0455;;;;2002-04-09T00:00:00Z
1099470700;Admete viridula;present;69.711667;18.965;;35;5;2002-04-23T00:00:00Z
1099484895;Admete viridula;present;61.426667;2.55;;379.5;2.5;2002-05-24T00:00:00Z
1099473990;Admete viridula;present;61.523333;2.215;;337;0;2002-05-29T00:00:00Z
1099484074;Admete viridula;present;61.443333;2.146667;;307;3;2002-06-01T00:00:00Z
1099485347;Admete viridula;present;61.368333;2.458333;;331.5;5.5;2002-06-03T00:00:00Z
1099475289;Admete viridula;present;69.563;19.165167;;35;0;2002-06-11T00:00:00Z
1990982245;Admete viridula;present;76.941399;15.738283;;101;0;2002-07-01T00:00:00Z
1990982224;Admete viridula;present;76.949837;15.467584;;135;0;2002-07-01T00:00:00Z
1990982253;Admete viridula;present;76.959702;15.882783;;127;0;2002-07-01T00:00:00Z
1099498512;Admete viridula;present;78.915;22.806667;;132;0;2003-08-03T00:00:00Z
1828958525;Admete viridula;present;70.205667;-133.3265;;;;2003-09-30T00:00:00Z
1099502004;Admete viridula;present;60.566667;3.633333;;300;1;2004-06-01T00:00:00Z
1099501973;Admete viridula;present;60.75;3.5;;323;11;2004-06-02T00:00:00Z
1934423729;Admete viridula;present;34.816667;139.558333;;1427;12;2004-06-06T00:00:00Z
1099498416;Admete viridula;present;60.521667;2.726667;;295;0;2004-06-24T00:00:00Z
1828959472;Admete viridula;present;70.170133;-133.536283;;;;2004-07-11T00:00:00Z
1099499284;Admete viridula;present;70.253833;22.7115;;33;0;2004-09-17T00:00:00Z
1099520760;Admete viridula;present;61.433333;2.566667;;379.5;1.5;2005-06-05T00:00:00Z
1099521866;Admete viridula;present;61.783333;2.3;;321;18;2005-06-07T00:00:00Z
1099520462;Admete viridula;present;61.5;2.216667;;347;7;2005-06-08T00:00:00Z
1099515861;Admete viridula;present;70.113667;23.219167;;159;0;2005-07-11T00:00:00Z
1099515502;Admete viridula;present;78.242667;15.6205;;70;0;2005-09-29T00:00:00Z
1099515366;Admete viridula;present;78.256667;15.591667;;80;0;2005-09-29T00:00:00Z
1099516370;Admete viridula;present;69.957833;23.2125;;25;0;2005-11-09T00:00:00Z
1099516304;Admete viridula;present;69.978667;23.3125;;40;0;2005-11-09T00:00:00Z
1099389113;Admete viridula;present;68.791;17.6125;;74;0;2006-06-28T00:00:00Z
893275907;Admete viridula;present;36.608333;141.603333;;1460;10;2006-11-15T00:00:00Z
1099387557;Admete viridula;present;67.956167;15.625667;;60;0;2007-05-11T00:00:00Z
1099386339;Admete viridula;present;71.551667;25.25;;295;3;2007-06-23T00:00:00Z
893275911;Admete viridula;present;40.978333;141.76;;469.5;1.5;2007-10-09T00:00:00Z
1099400308;Admete viridula;present;70.066667;29.05;;90;0;2008-01-01T00:00:00Z
1099385051;Admete viridula;present;69.676667;19.009833;;49;0;2008-04-02T00:00:00Z
1265436252;Admete viridula;present;69.863667;16.8205;;351.33;0;2008-06-04T12:24:00Z
1265436294;Admete viridula;present;69.8635;16.820333;;351.21;0;2008-06-04T13:24:00Z
2251519690;Admete viridula;present;58.5;10.589;;183;14;2008-06-14T00:00:00Z
1062186346;Admete viridula;present;58.499838;10.588712;500;183;14;2008-06-14T11:40:00Z
1265461439;Admete viridula;present;69.188322;13.946852;;2048.175;0.065;2008-06-22T17:26:00Z
1265461597;Admete viridula;present;68.132;12.3005;;228.115;0.795;2008-10-09T12:02:00Z
1099400034;Admete viridula;present;64.711667;7.69;;227.5;2.5;2009-06-07T00:00:00Z
1099398505;Admete viridula;present;70.233333;23.3;;185.5;54.5;2010-01-01T00:00:00Z
1457574502;Admete viridula;present;58.83;-94.11;;25;0;2010-08-10T00:00:00Z
1414226101;Admete viridula;present;58.836;-94.118;;25;0;2010-08-10T00:00:00Z
2304410477;Admete viridula;present;58.84;-94.12;;;;2010-08-10T00:00:00Z
1844604684;Admete viridula;present;-30.414;-72.1177;;152.5;17.5;2010-10-28T00:00:00Z
