gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1324779748;Alexandrium ostenfeldii;present;69.366699;19.0012;;40;;2001-04-25T00:00:00Z
234691200;Alexandrium ostenfeldii;present;69.3667;19.0012;;4;;2001-04-25T00:00:00Z
1584329093;Alexandrium ostenfeldii;present;-33.5604;151.151;;;;2005-07-28T00:00:00Z
1584334719;Alexandrium ostenfeldii;present;-35.2628;150.493;;;;2006-05-10T00:00:00Z
1584345362;Alexandrium ostenfeldii;present;-37.0763;149.892;;;;2006-08-02T00:00:00Z
1584346331;Alexandrium ostenfeldii;present;-37.0912;149.914;;;;2006-08-16T00:00:00Z
1584346087;Alexandrium ostenfeldii;present;-37.0912;149.914;;;;2007-08-29T00:00:00Z
1584345470;Alexandrium ostenfeldii;present;-37.0763;149.892;;;;2007-08-29T00:00:00Z
1584350552;Alexandrium ostenfeldii;present;-36.2126;150.117;;;;2007-09-02T00:00:00Z
1584345455;Alexandrium ostenfeldii;present;-37.0763;149.892;;;;2007-09-05T00:00:00Z
1584349251;Alexandrium ostenfeldii;present;-36.6015;150.013;;;;2007-09-05T00:00:00Z
1584336117;Alexandrium ostenfeldii;present;-34.0166;151.186;;;;2007-09-10T00:00:00Z
1584327388;Alexandrium ostenfeldii;present;-31.6276;152.791;;;;2007-10-29T00:00:00Z
1584354319;Alexandrium ostenfeldii;present;-37.2483;149.955;;;;2007-12-26T00:00:00Z
1584355207;Alexandrium ostenfeldii;present;-37.2408;149.926;;;;2007-12-26T00:00:00Z
1584354371;Alexandrium ostenfeldii;present;-37.2483;149.955;;;;2008-04-27T00:00:00Z
1584354414;Alexandrium ostenfeldii;present;-37.2483;149.955;;;;2008-10-12T00:00:00Z
1584355332;Alexandrium ostenfeldii;present;-37.2408;149.926;;;;2008-10-12T00:00:00Z
1584347601;Alexandrium ostenfeldii;present;-36.0389;150.108;;;;2008-10-29T00:00:00Z
1584344793;Alexandrium ostenfeldii;present;-34.8984;150.744;;;;2008-11-06T00:00:00Z
