gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
2441937940;Alexandrium tamarense;present;41.323;6.3344;;;;2000-01-01T00:00:00Z
1052989890;Alexandrium tamarense;present;51.41347;4.069319;10;;;2000-02-02T00:00:00Z
1052990059;Alexandrium tamarense;present;51.41347;4.069319;10;;;2000-05-04T00:00:00Z
1052989791;Alexandrium tamarense;present;51.433722;4.035424;10;;;2000-05-04T00:00:00Z
1052990805;Alexandrium tamarense;present;51.510405;3.949672;10;;;2000-05-04T00:00:00Z
1052983155;Alexandrium tamarense;present;51.506109;3.629131;10;;;2000-05-10T00:00:00Z
700983196;Alexandrium tamarense;present;51.706058;3.786101;10;;;2000-05-15T00:00:00Z
1052990258;Alexandrium tamarense;present;51.41347;4.069319;10;;;2000-06-05T00:00:00Z
1052983009;Alexandrium tamarense;present;51.506109;3.629131;10;;;2000-06-14T00:00:00Z
1324778921;Alexandrium tamarense;present;65.959999;39.483299;;80;;2000-06-16T00:00:00Z
234691177;Alexandrium tamarense;present;65.96;39.4833;;8;;2000-06-16T00:00:00Z
1052990031;Alexandrium tamarense;present;51.41347;4.069319;10;;;2000-07-03T00:00:00Z
1052990051;Alexandrium tamarense;present;51.433722;4.035424;10;;;2000-07-03T00:00:00Z
1052990718;Alexandrium tamarense;present;51.510405;3.949672;10;;;2000-07-06T00:00:00Z
1052983084;Alexandrium tamarense;present;51.506109;3.629131;10;;;2000-07-12T00:00:00Z
1052989858;Alexandrium tamarense;present;51.433722;4.035424;10;;;2000-08-04T00:00:00Z
700983216;Alexandrium tamarense;present;51.706058;3.786101;10;;;2000-08-15T00:00:00Z
1052989971;Alexandrium tamarense;present;51.433722;4.035424;10;;;2000-09-05T00:00:00Z
1052983217;Alexandrium tamarense;present;51.506109;3.629131;10;;;2000-09-11T00:00:00Z
1990861841;Alexandrium tamarense;present;40.276667;18.1575;;;;2000-10-01T00:00:00Z
1052979378;Alexandrium tamarense;present;51.572802;3.534932;10;;;2000-11-08T00:00:00Z
1706218854;Alexandrium tamarense;Present;37.618333;-122.291667;;2;0;2000-11-09T00:00:00Z
1835249488;Alexandrium tamarense;present;10.5;-64.67;;1;0;2001-02-16T00:00:00Z
1706218884;Alexandrium tamarense;Present;37.618333;-122.291667;;2;0;2001-03-07T00:00:00Z
1895841624;Alexandrium tamarense;present;15.763667;-97.120722;;1;0;2001-03-28T00:00:00Z
1706222967;Alexandrium tamarense;Present;37.518333;-122.133333;;2;0;2001-03-29T00:00:00Z
1706218934;Alexandrium tamarense;Present;37.618333;-122.291667;;2;0;2001-03-29T00:00:00Z
1706223117;Alexandrium tamarense;Present;37.518333;-122.133333;;2;0;2001-04-03T00:00:00Z
1706218937;Alexandrium tamarense;Present;37.618333;-122.291667;;2;0;2001-04-03T00:00:00Z
