gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1890728182;Amphibalanus eburneus;present;40.600813;-73.926401;50;;;2006-04-29T13:46:00Z
1418902246;Amphibalanus eburneus;present;24.616944;-97.7225;;0;0;2007-04-05T00:00:00Z
1418902021;Amphibalanus eburneus;present;23.776944;-97.738611;;0;0;2007-09-27T00:00:00Z
1418902207;Amphibalanus eburneus;present;24.491111;-97.742222;;0;0;2007-10-08T00:00:00Z
1418901979;Amphibalanus eburneus;present;23.776944;-97.738611;;0;0;2007-11-10T00:00:00Z
1418901750;Amphibalanus eburneus;present;22.266667;-97.733333;;0;0;2008-03-19T00:00:00Z
1418902154;Amphibalanus eburneus;present;24.491111;-97.742222;;0;0;2008-08-10T00:00:00Z
1418902308;Amphibalanus eburneus;present;25.821944;-97.1525;;0;0;2008-08-19T00:00:00Z
1418902251;Amphibalanus eburneus;present;24.616944;-97.7225;;0;0;2008-09-13T00:00:00Z
1418901940;Amphibalanus eburneus;present;23.776944;-97.738611;;0;0;2008-09-29T00:00:00Z
1418902129;Amphibalanus eburneus;present;24.491111;-97.742222;;0;0;2008-10-10T00:00:00Z
1418902168;Amphibalanus eburneus;present;24.491111;-97.742222;;0;0;2008-10-21T00:00:00Z
2303567538;Amphibalanus eburneus;present;34.7;134.86;;;;2009-01-01T00:00:00Z
2303430303;Amphibalanus eburneus;present;34.7;134.86;;;;2009-01-01T00:00:00Z
2303412674;Amphibalanus eburneus;present;34.7;134.86;;;;2009-01-01T00:00:00Z
899667827;Amphibalanus eburneus;present;28.77132;-80.84446;;;;2009-12-15T00:00:00Z
2303437023;Amphibalanus eburneus;present;33.43;133.44;;;;2010-01-01T00:00:00Z
2303411204;Amphibalanus eburneus;present;34.77;134.72;;;;2010-01-01T00:00:00Z
2303429808;Amphibalanus eburneus;present;35.5;133.13;;;;2010-01-01T00:00:00Z
2303428306;Amphibalanus eburneus;present;35.5;133.13;;;;2010-01-01T00:00:00Z
899622907;Amphibalanus eburneus;present;29.133333;-83;;;;2010-03-08T00:00:00Z
899622876;Amphibalanus eburneus;present;29.133333;-83;;;;2010-03-08T00:00:00Z
899622856;Amphibalanus eburneus;present;29.133333;-83;;;;2010-03-08T00:00:00Z
891068234;Amphibalanus eburneus;present;41.330349;-72.033913;47;;;2011-12-22T13:38:25Z
2461276803;Amphibalanus eburneus;present;18.067;-63.017;;;;2012-04-16T00:00:00Z
899649937;Amphibalanus eburneus;present;18.067;-63.017;;;;2012-04-16T00:00:00Z
1841318909;Amphibalanus eburneus;present;30.013598;-84.593277;2610;;;2013-03-27T11:55:00Z
1416591567;Amphibalanus eburneus;present;33.6213;-117.893;;;;2013-05-04T00:00:00Z
2249543362;Amphibalanus eburneus;present;40.8626;-73.4684;;;;2013-05-08T00:00:00Z
1931536697;Amphibalanus eburneus;present;32.681683;-80.303922;408;;;2013-05-12T17:21:00Z
1416591637;Amphibalanus eburneus;present;33.6526;-117.884;;;;2013-09-12T00:00:00Z
1416591443;Amphibalanus eburneus;present;33.6526;-117.884;;;;2013-11-05T00:00:00Z
1699361938;Amphibalanus eburneus;present;29.201285;-94.938333;115;;;2014-01-04T00:00:00Z
2251607818;Amphibalanus eburneus;present;33.633;-117.883;;;;2014-10-08T00:00:00Z
1586133596;Amphibalanus eburneus;present;32.240544;-80.682656;;;;2015-07-11T11:43:00Z
1880673925;Amphibalanus eburneus;present;37.810834;-75.99292;20;;;2015-08-23T17:28:00Z
1891354890;Amphibalanus eburneus;present;27.885642;-97.117164;;;;2015-10-29T15:21:06Z
1675372188;Amphibalanus eburneus;present;28.92434;-82.69188;;;;2015-11-14T00:00:00Z
1453340504;Amphibalanus eburneus;present;37.931313;-75.342777;2557;;;2016-01-04T14:53:00Z
1675372228;Amphibalanus eburneus;present;27.488463;-80.314944;;;;2016-03-14T00:00:00Z
1946364111;Amphibalanus eburneus;present;27.707503;-97.323928;;;;2016-05-05T20:22:19Z
2006101742;Amphibalanus eburneus;present;40.447652;-74.11785;344;;;2016-05-13T15:44:00Z
1586133017;Amphibalanus eburneus;present;20.960938;-97.326645;;;;2016-06-14T11:41:00Z
