gbifID;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1272049741;present;33.76317;-118.25259;;;;2000-01-01T00:00:00Z
1272049725;present;33.76306;-118.19139;;;;2000-08-01T00:00:00Z
1272049709;present;34.14815;-119.20382;;;;2000-09-14T00:00:00Z
1272049722;present;33.7128;-118.05434;;;;2001-07-12T00:00:00Z
1272049726;present;33.60852;-117.92022;;;;2001-08-15T00:00:00Z
1272049776;present;33.60943;-117.89577;;;;2001-08-15T00:00:00Z
1272049740;present;40.79762;-124.18615;;;;2001-09-18T00:00:00Z
1272049744;present;38.114;-122.85567;;;;2001-09-19T00:00:00Z
1272049764;present;38.1444;-122.90055;;;;2001-09-19T00:00:00Z
1272049755;present;38.14667;-122.8835;;;;2001-09-19T00:00:00Z
1272049743;present;37.96243;-122.41875;;;;2004-05-26T00:00:00Z
1272049757;present;32.69923;-117.16842;;;;2005-04-27T00:00:00Z
1272049745;present;37.81456;-122.37122;;;;2005-06-08T00:00:00Z
1272049697;present;32.68613;-117.23476;;;;2005-06-28T00:00:00Z
1272049750;present;32.70623;-117.18861;;;;2005-06-28T00:00:00Z
1272049678;present;32.64773;-117.12693;;;;2005-06-29T00:00:00Z
1272049698;present;32.69923;-117.16842;;;;2005-06-29T00:00:00Z
1272049711;present;37.88826;-122.44446;;;;2005-07-07T00:00:00Z
1272049769;present;37.91369;-122.35035;;;;2005-07-08T00:00:00Z
1272049706;present;37.80655;-122.44626;;;;2005-09-08T00:00:00Z
1272049713;present;37.80852;-122.40601;;;;2005-09-08T00:00:00Z
1272049666;present;37.86001;-122.32557;;;;2005-10-04T00:00:00Z
1272049710;present;37.90845;-122.39126;;;;2005-10-06T00:00:00Z
1272049690;present;37.91006;-122.36436;;;;2005-10-06T00:00:00Z
1272049707;present;37.91369;-122.35035;;;;2005-10-06T00:00:00Z
1272049708;present;37.92065;-122.36842;;;;2005-10-06T00:00:00Z
1272049692;present;37.9228;-122.4105;;;;2005-10-06T00:00:00Z
1272049727;present;38.02306;-122.29277;;;;2005-10-19T00:00:00Z
1272049700;present;38.10147;-122.26949;;;;2005-10-19T00:00:00Z
1272049723;present;38.10508;-122.26672;;;;2005-10-19T00:00:00Z
1272049731;present;37.96429;-122.41846;;;;2005-10-20T00:00:00Z
1272049752;present;38.04456;-122.43262;;;;2005-10-20T00:00:00Z
1272049682;present;37.85884;-122.47977;;;;2005-10-21T00:00:00Z
1272049696;present;37.86798;-122.43497;;;;2005-10-21T00:00:00Z
1272049688;present;37.89063;-122.44577;;;;2005-10-21T00:00:00Z
1272049704;present;38.06612;-122.22987;;;;2005-11-14T00:00:00Z
1272049729;present;38.0025;-122.46168;;;;2005-11-15T00:00:00Z
1272049767;present;37.82534;-122.42228;;;;2005-11-16T00:00:00Z
1272049760;present;35.35889;-120.85239;;;;2006-07-28T00:00:00Z
1272049732;present;38.14656;-122.88324;;;;2006-08-10T00:00:00Z
1272049789;present;38.19905;-122.92195;;;;2006-08-10T00:00:00Z
1272049738;present;33.98302;-118.45639;;;;2006-08-25T00:00:00Z
1272049691;present;33.6082;-117.91949;;;;2006-09-14T00:00:00Z
1272049724;present;33.61942;-117.89325;;;;2006-09-14T00:00:00Z
1272049681;present;33.62128;-117.93636;;;;2006-09-14T00:00:00Z
1272049694;present;49.001844;-123.321533;;;;2007-01-01T00:00:00Z
1272049660;present;49.493107;-126.743774;;;;2007-01-01T00:00:00Z
1272049717;present;37.81486;-122.37022;;;;2010-06-03T00:00:00Z
1272049705;present;37.86001;-122.32557;;;;2010-06-03T00:00:00Z
1272049719;present;38.06612;-122.22987;;;;2010-06-11T00:00:00Z
1272049721;present;37.99615;-122.45564;;;;2010-06-12T00:00:00Z
1272049712;present;38.0025;-122.46168;;;;2010-06-12T00:00:00Z
1272049730;present;37.90845;-122.39126;;;;2010-06-28T00:00:00Z
1272049716;present;37.91006;-122.36436;;;;2010-06-28T00:00:00Z
1272049742;present;37.92065;-122.36842;;;;2010-06-28T00:00:00Z
1272049695;present;38.02306;-122.29277;;;;2010-06-30T00:00:00Z
1272049676;present;38.03938;-122.27165;;;;2010-06-30T00:00:00Z
