gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1272538968;Asterias amurensis;present;-37.93;144.93;;;;2000-02-16T00:00:00Z
609447532;Asterias amurensis;present;57.005;-161.5613;;66;;2000-05-27T00:00:00Z
1272693756;Asterias amurensis;present;-37.88;144.9;;0.5;0.5;2000-09-22T00:00:00Z
1644978018;Asterias amurensis;present;-37.866;144.876;50;;;2003-03-27T00:00:00Z
1644977995;Asterias amurensis;present;-37.866;144.876;50;;;2003-03-27T00:00:00Z
1272699401;Asterias amurensis;present;-38.65;145.72;;0;0;2004-01-08T00:00:00Z
1272699447;Asterias amurensis;present;-37.85;144.97;;1.5;0.5;2004-01-08T00:00:00Z
1272699418;Asterias amurensis;present;-37.85;144.97;;1.5;0.5;2004-01-08T00:00:00Z
1272699410;Asterias amurensis;present;-38.65;145.72;;0;0;2004-02-08T00:00:00Z
1644978067;Asterias amurensis;present;-37.866;144.876;50;;;2004-04-30T00:00:00Z
1644978043;Asterias amurensis;present;-37.866;144.876;50;;;2004-04-30T00:00:00Z
1644978031;Asterias amurensis;present;-37.866;144.876;50;;;2004-04-30T00:00:00Z
1318277388;Asterias amurensis;present;65.6761;-168.299;;;;2004-08-10T00:00:00Z
1453069637;Asterias amurensis;present;36.228212;126.074488;107;;;2006-09-23T00:00:00Z
1080490127;Asterias amurensis;present;-42.89;147.34;;;;2007-01-18T00:00:00Z
2304130828;Asterias amurensis;present;-42.89;147.34;;;;2007-01-18T00:00:00Z
2249111038;Asterias amurensis;present;-42.888;147.339;;10;0;2007-01-18T00:00:00Z
896994056;Asterias amurensis;present;67.0041;-164.9561;;;;2007-09-11T00:00:00Z
1914250067;Asterias amurensis;present;36.844667;126.190424;425;;;2007-12-09T00:00:00Z
609479402;Asterias amurensis;present;59.62273;-151.6877;;25;;2009-07-02T00:00:00Z
1655560613;Asterias amurensis;present;-42.94961;147.41687;;;;2009-11-15T00:00:00Z
857000167;Asterias amurensis;present;42.4937;-8.99168;100;8;8;2010-06-13T08:30:00Z
857000173;Asterias amurensis;present;42.5018;-8.94636;100;9;9;2010-06-13T10:30:00Z
1457580047;Asterias amurensis;present;-37.869625;144.975071;26;;;2010-06-14T11:31:57Z
1993774360;Asterias amurensis;present;36.031825;129.383799;50;;;2010-08-28T17:33:08Z
2310847510;Asterias amurensis;present;43.11;132.4;;;;2011-01-23T00:00:00Z
2310275089;Asterias amurensis;present;43.11;132.4;;;;2011-01-23T00:00:00Z
2310091349;Asterias amurensis;present;43.11;132.4;;;;2011-01-23T00:00:00Z
2308999119;Asterias amurensis;present;43.11;132.4;;;;2011-01-23T00:00:00Z
2308636304;Asterias amurensis;present;43.11;132.4;;;;2011-01-23T00:00:00Z
2307638436;Asterias amurensis;present;43.11;132.4;;;;2011-01-23T00:00:00Z
1313779176;Asterias amurensis;present;12.1707;109.313;100;9;9;2011-02-23T00:00:00Z
1500221375;Asterias amurensis;present;-37.870993;144.975717;99;;;2011-08-30T00:00:00Z
857003676;Asterias amurensis;present;-38.3568;144.774;100;5;5;2011-12-08T14:30:00Z
1272611291;Asterias amurensis;present;-38.53;145.38;;;;2012-01-28T00:00:00Z
857002340;Asterias amurensis;present;-34.5977;150.901;100;9.1;9.1;2012-05-07T12:41:00Z
1914250819;Asterias amurensis;present;36.887069;126.195188;;;;2012-06-02T00:00:00Z
893351872;Asterias amurensis;present;-8.73361;115.22;100;3.95;3.95;2012-06-14T16:38:00Z
2251209648;Asterias amurensis;present;-42.89;147.33;;;;2012-07-04T00:00:00Z
857006675;Asterias amurensis;present;-33.9161;151.271;100;11.5;11.5;2012-09-29T08:20:00Z
1272611238;Asterias amurensis;present;-37.8333;144.833;;0.5;0.5;2012-12-12T00:00:00Z
1272611297;Asterias amurensis;present;-38.23;145.03;;6;0;2012-12-22T00:00:00Z
857013489;Asterias amurensis;present;51.5261;3.9772;100;9.6;9.6;2013-08-11T12:33:00Z
857014727;Asterias amurensis;present;30.3735;-86.448;100;7.01;7.01;2013-10-01T09:04:00Z
866343196;Asterias amurensis;present;50.479;-3.51004;100;5.64;5.64;2013-12-03T20:00:00Z
1950034269;Asterias amurensis;present;-42.882535;147.333701;;;;2014-01-14T12:22:47Z
911440323;Asterias amurensis;present;30.3735;-86.448;100;10.42;10.42;2014-05-20T08:13:00Z
919316907;Asterias amurensis;present;34.0082;-119.381;100;4.5;4.5;2014-06-01T08:30:00Z
1291818509;Asterias amurensis;present;7.1461;98.824;100;10.45;10.45;2015-03-13T11:38:00Z
1291818469;Asterias amurensis;present;7.63383;98.8144;100;9.55;9.55;2015-03-15T08:51:00Z
2252040853;Asterias amurensis;present;-37.817598;144.945624;;;;2016-03-12T00:00:00Z
1265570010;Asterias amurensis;present;35.014417;138.845337;;;;2016-04-09T13:52:26Z
1269210805;Asterias amurensis;present;32.6669;-16.9241;100;6.5;6.5;2016-05-18T10:51:00Z
1305122242;Asterias amurensis;present;64.482895;-165.302205;5;;;2016-06-14T17:28:58Z
1563377395;Asterias amurensis;present;-8.33601;116.048;100;6.5;6.5;2016-08-15T10:00:00Z
1703126810;Asterias amurensis;present;-42.884857;147.331726;;;;2016-12-13T14:50:19Z
1453304413;Asterias amurensis;present;-38.212133;145.03394;55;;;2016-12-23T00:00:00Z
1500257171;Asterias amurensis;present;-37.90906;144.98168;61;;;2017-04-17T00:00:00Z
1913717562;Asterias amurensis;present;63.781448;-171.691695;;;;2017-06-01T12:36:00Z
2273309887;Asterias amurensis;present;-37.908731;144.982486;;;;2017-06-22T13:56:00Z
2273312161;Asterias amurensis;present;-37.910993;144.985091;;;;2017-06-22T14:14:00Z
2273310525;Asterias amurensis;present;-37.8754;144.975485;;;;2017-06-29T14:28:00Z
1667396879;Asterias amurensis;present;-38;145;;;;2017-09-11T00:00:00Z
1946389563;Asterias amurensis;present;28.7297;-13.8672;100;7.5;7.5;2017-11-04T09:23:00Z
1805375404;Asterias amurensis;present;-37.911295;144.982973;61;;;2017-12-26T07:46:00Z
1831198605;Asterias amurensis;present;-42.889832;147.339277;129;;;2018-02-13T14:15:00Z
1883907912;Asterias amurensis;present;-37.866717;144.88044;15;;;2018-02-27T15:37:00Z
1844513984;Asterias amurensis;present;-33.5;151.3;;;;2018-04-17T00:00:00Z
1949977718;Asterias amurensis;present;-37.864674;144.969949;258;;;2018-05-13T17:10:04Z
1948730283;Asterias amurensis;present;-37.86452;144.969531;516;;;2018-05-13T17:10:46Z
1936815353;Asterias amurensis;present;-37.9;145;;;;2018-06-06T00:00:00Z
