gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1100810671;Bugula neritina;present;-38.433;145.133;10000;;;
1100810580;Bugula neritina;present;-38.433;145.133;10000;;;
1100810797;Bugula neritina;present;-33.85;151.266;10000;;;
1100810064;Bugula neritina;present;-33.85;151.266;10000;;;
1100809029;Bugula neritina;present;-33.85;151.266;10000;;;
1100806438;Bugula neritina;present;-33.85;151.266;10000;;;
1100806388;Bugula neritina;present;-33.85;151.266;10000;;;
1100806363;Bugula neritina;present;-33.85;151.266;10000;;;
1100806120;Bugula neritina;present;-33.85;151.266;10000;;;
1100719836;Bugula neritina;present;-33.85;151.266;10000;;;
1100718835;Bugula neritina;present;-33.85;151.266;10000;;;
1100806614;Bugula neritina;present;-33.633;151.316;10000;;;
1883514100;Bugula neritina;present;-34.929776;137.34722;5301;;;2013-01-29T15:20:00Z
1961423782;Bugula neritina;present;51.65;3.75;5000;;;2010-06-19T00:00:00Z
1957402868;Bugula neritina;present;51.65;3.75;5000;;;2012-08-17T00:00:00Z
1968978093;Bugula neritina;present;52.2;4.4;5000;;;2017-09-06T00:00:00Z
1968904547;Bugula neritina;present;52.2;4.4;5000;;;2017-09-09T00:00:00Z
1968234351;Bugula neritina;present;52.45;4.55;5000;;;2017-09-23T00:00:00Z
2294647721;Bugula neritina;present;41.454279;-70.603639;3399;;;2019-07-15T00:00:00Z
2294647192;Bugula neritina;present;41.454279;-70.603639;3399;;;2019-07-15T00:00:00Z
2294646710;Bugula neritina;present;41.454279;-70.603639;3399;;;2019-07-15T00:00:00Z
1100809521;Bugula neritina;present;-37.07999;149.883;1000;;;2000-05-21T00:00:00Z
1544652016;Bugula neritina;present;50.80645;-0.0925;1000;;;2004-09-01T00:00:00Z
1544652749;Bugula neritina;present;50.79103;-1.02954;1000;;;2004-09-02T00:00:00Z
1544652160;Bugula neritina;present;50.8007;-1.11448;1000;;;2004-09-02T00:00:00Z
1544653382;Bugula neritina;present;50.85599;-1.31233;1000;;;2004-09-03T00:00:00Z
1544652490;Bugula neritina;present;50.89243;-1.39711;1000;;;2004-09-03T00:00:00Z
1544651874;Bugula neritina;present;50.71413;-1.98012;1000;;;2004-09-04T00:00:00Z
1544651911;Bugula neritina;present;50.60536;-2.4465;1000;;;2004-09-05T00:00:00Z
1544653269;Bugula neritina;present;50.46126;-3.52997;1000;;;2004-09-06T00:00:00Z
1544651972;Bugula neritina;present;50.16044;-5.08853;1000;;;2004-09-07T00:00:00Z
1544653028;Bugula neritina;present;50.36186;-4.13135;1000;;;2004-09-07T00:00:00Z
1544652798;Bugula neritina;present;50.82666;-0.23367;1000;;;2005-07-26T00:00:00Z
1544651938;Bugula neritina;present;50.3987;-3.49981;1000;;;2006-02-14T00:00:00Z
1544653092;Bugula neritina;present;50.46126;-3.52997;1000;;;2006-02-14T00:00:00Z
1544651961;Bugula neritina;present;50.25112;-3.76169;1000;;;2006-02-16T00:00:00Z
1544651414;Bugula neritina;present;50.16044;-5.08853;1000;;;2006-02-17T00:00:00Z
1544653196;Bugula neritina;present;50.60536;-2.4465;1000;;;2006-02-21T00:00:00Z
1544651940;Bugula neritina;present;50.71413;-1.98012;1000;;;2006-02-24T00:00:00Z
1544652971;Bugula neritina;present;50.36211;-4.1173;1000;;;2006-04-24T00:00:00Z
1544651792;Bugula neritina;present;50.71413;-1.98012;1000;;;2006-07-11T00:00:00Z
1544652924;Bugula neritina;present;50.3987;-3.49981;1000;;;2007-07-24T00:00:00Z
1544652187;Bugula neritina;present;50.36211;-4.1173;1000;;;2008-10-13T00:00:00Z
1544651254;Bugula neritina;present;50.16044;-5.08853;1000;;;2009-03-10T00:00:00Z
1544651482;Bugula neritina;present;50.36186;-4.13135;1000;;;2009-07-07T00:00:00Z
1544653227;Bugula neritina;present;50.37084;-4.13175;1000;;;2009-07-07T00:00:00Z
1544653056;Bugula neritina;present;50.3987;-3.49981;1000;;;2009-07-08T00:00:00Z
1544652676;Bugula neritina;present;50.46126;-3.52997;1000;;;2009-07-27T00:00:00Z
1544651675;Bugula neritina;present;50.1522;-5.06;1000;;;2009-08-25T00:00:00Z
1544651949;Bugula neritina;present;50.16044;-5.08853;1000;;;2009-08-25T00:00:00Z
1544653672;Bugula neritina;present;50.46126;-3.52997;1000;;;2009-09-14T00:00:00Z
1544651983;Bugula neritina;present;50.61552;-3.42188;1000;;;2009-09-14T00:00:00Z
1544652097;Bugula neritina;present;50.3987;-3.49981;1000;;;2009-09-16T00:00:00Z
1544652322;Bugula neritina;present;50.1522;-5.06;1000;;;2009-09-18T00:00:00Z
1544651315;Bugula neritina;present;50.16044;-5.08853;1000;;;2009-09-18T00:00:00Z
1544652093;Bugula neritina;present;50.36186;-4.13135;1000;;;2009-09-19T00:00:00Z
1544651694;Bugula neritina;present;50.37084;-4.13175;1000;;;2009-09-19T00:00:00Z
1544651581;Bugula neritina;present;51.40606;0.53627;1000;;;2009-10-05T00:00:00Z
1544651445;Bugula neritina;present;50.78973;0.33248;1000;;;2009-10-06T00:00:00Z
1544651598;Bugula neritina;present;50.79103;-1.02954;1000;;;2009-10-07T00:00:00Z
1544651811;Bugula neritina;present;50.80645;-0.0925;1000;;;2009-10-07T00:00:00Z
1544653649;Bugula neritina;present;50.82666;-0.23367;1000;;;2009-10-07T00:00:00Z
1544651470;Bugula neritina;present;50.74914;-1.52652;1000;;;2009-10-08T00:00:00Z
1544651214;Bugula neritina;present;50.79171;-1.11465;1000;;;2009-10-08T00:00:00Z
1544651224;Bugula neritina;present;50.85599;-1.31233;1000;;;2009-10-08T00:00:00Z
1544651716;Bugula neritina;present;50.60536;-2.4465;1000;;;2009-10-09T00:00:00Z
1544651466;Bugula neritina;present;50.71413;-1.98012;1000;;;2009-10-09T00:00:00Z
1544652122;Bugula neritina;present;50.25112;-3.76169;1000;;;2009-10-23T00:00:00Z
1544652799;Bugula neritina;present;50.36211;-4.1173;1000;;;2009-11-04T00:00:00Z
1544651768;Bugula neritina;present;52.47105;1.74578;1000;;;2009-11-18T00:00:00Z
1544653405;Bugula neritina;present;52.47198;1.7164;1000;;;2009-11-18T00:00:00Z
1544652155;Bugula neritina;present;51.7587;0.84583;1000;;;2009-11-19T00:00:00Z
1544653606;Bugula neritina;present;51.86488;1.25929;1000;;;2009-11-19T00:00:00Z
1544652126;Bugula neritina;present;51.99953;1.26907;1000;;;2009-11-19T00:00:00Z
1544651642;Bugula neritina;present;51.6247;0.80853;1000;;;2009-11-20T00:00:00Z
1544652979;Bugula neritina;present;50.75813;-1.52643;1000;;;2009-12-03T00:00:00Z
1544652590;Bugula neritina;present;50.89243;-1.39711;1000;;;2009-12-03T00:00:00Z
1544652831;Bugula neritina;present;50.74791;-1.28557;1000;;;2009-12-04T00:00:00Z
1544652941;Bugula neritina;present;50.75699;-1.29961;1000;;;2009-12-04T00:00:00Z
1544652880;Bugula neritina;present;50.76598;-1.29947;1000;;;2009-12-04T00:00:00Z
1544651945;Bugula neritina;present;50.8925;-1.41132;1000;;;2009-12-04T00:00:00Z
1544652103;Bugula neritina;present;50.86498;-1.3122;1000;;;2009-12-05T00:00:00Z
1544653104;Bugula neritina;present;50.87397;-1.31207;1000;;;2009-12-05T00:00:00Z
1544653605;Bugula neritina;present;50.91034;-1.38265;1000;;;2009-12-05T00:00:00Z
1544652123;Bugula neritina;present;50.8007;-1.11448;1000;;;2009-12-06T00:00:00Z
1544652048;Bugula neritina;present;50.80081;-1.12867;1000;;;2009-12-06T00:00:00Z
1544651429;Bugula neritina;present;50.84555;-1.09943;1000;;;2009-12-06T00:00:00Z
1544651469;Bugula neritina;present;50.36186;-4.13135;1000;;;2010-07-13T00:00:00Z
1544653671;Bugula neritina;present;50.36211;-4.1173;1000;;;2010-07-13T00:00:00Z
1544652989;Bugula neritina;present;50.37084;-4.13175;1000;;;2010-07-13T00:00:00Z
1544653176;Bugula neritina;present;50.1522;-5.06;1000;;;2010-07-14T00:00:00Z
1544653031;Bugula neritina;present;50.1522;-5.06;1000;;;2010-07-14T00:00:00Z
1544652775;Bugula neritina;present;50.16044;-5.08853;1000;;;2010-07-14T00:00:00Z
1544651732;Bugula neritina;present;50.3987;-3.49981;1000;;;2010-07-15T00:00:00Z
1544651595;Bugula neritina;present;50.46126;-3.52997;1000;;;2010-07-15T00:00:00Z
1544652380;Bugula neritina;present;50.37058;-4.14581;1000;;;2010-07-16T00:00:00Z
1544652237;Bugula neritina;present;50.36186;-4.13135;1000;;;2011-03-14T00:00:00Z
1544652467;Bugula neritina;present;50.3987;-3.49981;1000;;;2011-03-21T00:00:00Z
1544653620;Bugula neritina;present;50.46126;-3.52997;1000;;;2011-03-21T00:00:00Z
1544651952;Bugula neritina;present;50.36211;-4.1173;1000;;;2011-03-24T00:00:00Z
1544651842;Bugula neritina;present;50.1522;-5.06;1000;;;2011-03-28T00:00:00Z
1544652888;Bugula neritina;present;50.16044;-5.08853;1000;;;2011-03-28T00:00:00Z
1544652342;Bugula neritina;present;50.37084;-4.13175;1000;;;2011-03-31T00:00:00Z
1544652533;Bugula neritina;present;50.46126;-3.52997;1000;;;2011-05-03T00:00:00Z
1544651878;Bugula neritina;present;50.16044;-5.08853;1000;;;2011-05-31T00:00:00Z
1544651185;Bugula neritina;present;50.3987;-3.49981;1000;;;2011-06-09T00:00:00Z
1544652151;Bugula neritina;present;50.80645;-0.0925;1000;;;2011-06-16T00:00:00Z
1544651530;Bugula neritina;present;50.82666;-0.23367;1000;;;2011-06-16T00:00:00Z
1544651769;Bugula neritina;present;50.79103;-1.02954;1000;;;2011-06-17T00:00:00Z
1544652627;Bugula neritina;present;50.8007;-1.11448;1000;;;2011-06-18T00:00:00Z
1544652582;Bugula neritina;present;50.85599;-1.31233;1000;;;2011-06-18T00:00:00Z
1544652564;Bugula neritina;present;50.89243;-1.39711;1000;;;2011-06-19T00:00:00Z
1544653545;Bugula neritina;present;50.71413;-1.98012;1000;;;2011-06-21T00:00:00Z
1544653079;Bugula neritina;present;50.60536;-2.4465;1000;;;2011-06-29T00:00:00Z
1544653538;Bugula neritina;present;50.36186;-4.13135;1000;;;2011-08-02T00:00:00Z
1544653470;Bugula neritina;present;50.16044;-5.08853;1000;;;2011-08-11T00:00:00Z
1544653039;Bugula neritina;present;50.36186;-4.13135;1000;;;2011-08-19T00:00:00Z
1544652966;Bugula neritina;present;50.37084;-4.13175;1000;;;2011-08-19T00:00:00Z
1544652437;Bugula neritina;present;50.3987;-3.49981;1000;;;2011-08-25T00:00:00Z
1544652148;Bugula neritina;present;50.46126;-3.52997;1000;;;2011-08-25T00:00:00Z
1544651471;Bugula neritina;present;50.46126;-3.52997;1000;;;2011-10-10T00:00:00Z
1544653420;Bugula neritina;present;50.37084;-4.13175;1000;;;2012-02-20T00:00:00Z
1544651593;Bugula neritina;present;50.37084;-4.13175;1000;;;2012-02-20T00:00:00Z
1544652072;Bugula neritina;present;50.36186;-4.13135;1000;;;2012-02-23T00:00:00Z
1544651995;Bugula neritina;present;50.36186;-4.13135;1000;;;2012-02-23T00:00:00Z
1544653374;Bugula neritina;present;50.1522;-5.06;1000;;;2012-02-27T00:00:00Z
1544651967;Bugula neritina;present;50.1522;-5.06;1000;;;2012-02-27T00:00:00Z
1544653584;Bugula neritina;present;50.16044;-5.08853;1000;;;2012-02-27T00:00:00Z
1544651542;Bugula neritina;present;50.16044;-5.08853;1000;;;2012-02-27T00:00:00Z
1544652873;Bugula neritina;present;50.3987;-3.49981;1000;;;2012-03-05T00:00:00Z
