gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1895167312;Chaetoceros seiracanthus;present;17.911;-102.1445;;10;0;2000-02-22T00:00:00Z
1895167250;Chaetoceros seiracanthus;present;17.911;-102.1445;;1;0;2000-02-22T00:00:00Z
1895167322;Chaetoceros seiracanthus;present;17.914444;-102.1525;;10;0;2000-02-22T00:00:00Z
1895167334;Chaetoceros seiracanthus;present;17.918;-102.1565;;10;0;2000-02-22T00:00:00Z
1895167271;Chaetoceros seiracanthus;present;17.938;-102.129;;10;0;2000-02-22T00:00:00Z
1895167236;Chaetoceros seiracanthus;present;17.98;-102.038;;1;0;2000-02-22T00:00:00Z
1895167225;Chaetoceros seiracanthus;present;17.986;-102.038;;10;0;2000-02-22T00:00:00Z
1895167165;Chaetoceros seiracanthus;present;17.986;-102.038;;1;0;2000-02-22T00:00:00Z
1895167210;Chaetoceros seiracanthus;present;17.914444;-102.1525;;1;0;2000-05-01T00:00:00Z
1895167248;Chaetoceros seiracanthus;present;17.973;-102.038;;1;0;2000-05-01T00:00:00Z
1895167283;Chaetoceros seiracanthus;present;17.98;-102.038;;10;0;2000-05-01T00:00:00Z
1895167270;Chaetoceros seiracanthus;present;17.982;-102.089;;10;0;2000-05-01T00:00:00Z
1895167361;Chaetoceros seiracanthus;present;17.983;-102.025;;3;0;2000-06-26T00:00:00Z
1584369132;Chaetoceros seiracanthus;present;-13.85583;143.712;;;;2000-08-02T00:00:00Z
1895167268;Chaetoceros seiracanthus;present;17.914444;-102.1525;;1;0;2000-08-28T00:00:00Z
1895167309;Chaetoceros seiracanthus;present;17.973;-102.038;;10;0;2000-08-28T00:00:00Z
1895167193;Chaetoceros seiracanthus;present;17.973;-102.038;;1;0;2000-08-28T00:00:00Z
1895167244;Chaetoceros seiracanthus;present;17.98;-102.038;;1;0;2000-08-28T00:00:00Z
1895167235;Chaetoceros seiracanthus;present;17.98;-102.038;;10;0;2000-08-28T00:00:00Z
1895167199;Chaetoceros seiracanthus;present;17.986;-102.038;;1;0;2000-08-28T00:00:00Z
1895167218;Chaetoceros seiracanthus;present;17.97;-102.083;;10;0;2000-10-22T00:00:00Z
1895167269;Chaetoceros seiracanthus;present;17.983;-102.025;;1;0;2001-02-15T00:00:00Z
234709435;Chaetoceros seiracanthus;present;66.8783;32.485;;26;;2001-05-27T00:00:00Z
1324796388;Chaetoceros seiracanthus;present;66.878304;32.485001;;260;;2001-05-27T00:00:00Z
1324791074;Chaetoceros seiracanthus;present;67.07;32.8433;;680;;2001-05-28T00:00:00Z
234709453;Chaetoceros seiracanthus;present;67.07;32.8433;;68;;2001-05-28T00:00:00Z
1584264681;Chaetoceros seiracanthus;present;-21.83567;114.3423;;10;0;2002-04-07T00:00:00Z
1584264751;Chaetoceros seiracanthus;present;-21.83483;114.3423;;0;0;2002-04-09T00:00:00Z
1893278627;Chaetoceros seiracanthus;present;24.1488;-110.4078;;1;0;2003-01-17T00:00:00Z
1893278646;Chaetoceros seiracanthus;present;24.1631;-110.4199;;1;0;2003-01-17T00:00:00Z
1893278794;Chaetoceros seiracanthus;present;24.1725;-110.3169;;1;0;2003-04-01T00:00:00Z
1893278658;Chaetoceros seiracanthus;present;24.201;-110.326;;1;0;2003-04-02T00:00:00Z
1893278772;Chaetoceros seiracanthus;present;24.1488;-110.4078;;1;0;2004-10-21T00:00:00Z
1893278770;Chaetoceros seiracanthus;present;24.1631;-110.4199;;1;0;2004-10-21T00:00:00Z
1893278656;Chaetoceros seiracanthus;present;24.1725;-110.3169;;1;0;2004-10-22T00:00:00Z
1893278674;Chaetoceros seiracanthus;present;24.1909;-110.3012;;1;0;2004-10-23T00:00:00Z
1893278695;Chaetoceros seiracanthus;present;27.6;-111.1178;;25;0;2005-11-21T00:00:00Z
1584226441;Chaetoceros seiracanthus;present;-43.3167;147.6333;;;;2012-02-21T00:00:00Z
1584226541;Chaetoceros seiracanthus;present;-43.2;147.4333;;;;2012-02-21T00:00:00Z
1584226405;Chaetoceros seiracanthus;present;-43.17;147.555;;;;2012-02-21T00:00:00Z
1584226493;Chaetoceros seiracanthus;present;-43.1166;147.6667;;;;2012-02-21T00:00:00Z
1584226407;Chaetoceros seiracanthus;present;-43.0666;147.395;;;;2012-02-21T00:00:00Z
2468716040;Chaetoceros seiracanthus;present;1.682867;-79.17245;;25;25;2012-12-07T00:00:00Z
2468715391;Chaetoceros seiracanthus;present;1.602967;-79.379733;;25;25;2012-12-08T00:00:00Z
2468715258;Chaetoceros seiracanthus;present;1.668283;-79.5222;;25;25;2012-12-09T00:00:00Z
2468715826;Chaetoceros seiracanthus;present;1.735;-79.513267;;25;25;2012-12-10T00:00:00Z
2468715518;Chaetoceros seiracanthus;present;1.892517;-79.316967;;25;25;2012-12-11T00:00:00Z
2468714714;Chaetoceros seiracanthus;present;1.771917;-79.047617;;25;25;2012-12-12T00:00:00Z
2468714616;Chaetoceros seiracanthus;present;1.926933;-79.0416;;25;25;2012-12-13T00:00:00Z
2468715996;Chaetoceros seiracanthus;present;1.9706;-79.4127;;25;25;2012-12-14T00:00:00Z
2468715377;Chaetoceros seiracanthus;present;2.183417;-79.265433;;25;25;2012-12-15T00:00:00Z
2468715759;Chaetoceros seiracanthus;present;2.32675;-78.90015;;25;25;2012-12-18T00:00:00Z
2468715219;Chaetoceros seiracanthus;present;2.513333;-78.78905;;25;25;2012-12-20T00:00:00Z
2468714830;Chaetoceros seiracanthus;present;2.524133;-79.013567;;25;25;2012-12-21T00:00:00Z
2307398298;Chaetoceros seiracanthus;present;40.4;14.1;;;;2013-06-04T00:00:00Z
2306420095;Chaetoceros seiracanthus;present;40.4;14.1;;;;2013-06-04T00:00:00Z
2309748742;Chaetoceros seiracanthus;present;40.48;14.15;;;;2013-06-04T00:00:00Z
2308168997;Chaetoceros seiracanthus;present;40.48;14.15;;;;2013-06-04T00:00:00Z
1584285237;Chaetoceros seiracanthus;present;-18.5;147.5;;;;
90127717;Chaetoceros seiracanthus;present;0;0;;;;
