gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
2471460890;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;2003-08-04T00:00:00Z
2471457137;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1996-10-10T00:00:00Z
2471455795;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1998-07-01T00:00:00Z
2471455545;Fibrocapsa japonica;Present;47.46283;-2.49717;180;1;0;2013-08-12T00:00:00Z
2471453699;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1996-07-03T00:00:00Z
2471446087;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1999-08-23T00:00:00Z
2471441590;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;2002-08-26T00:00:00Z
2471440066;Fibrocapsa japonica;Present;49.65042;0.15016;180;4;0;2000-08-21T00:00:00Z
2471428818;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1997-09-16T00:00:00Z
2471426790;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1998-08-24T00:00:00Z
2471426030;Fibrocapsa japonica;Present;47.73332;-3.9867;10;0.5;0;1993-10-21T00:00:00Z
2471415408;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1997-09-11T00:00:00Z
2471406303;Fibrocapsa japonica;Present;47.83341;-3.94992;180;0.5;0;2008-10-08T00:00:00Z
2471400605;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;2002-10-09T00:00:00Z
2471394714;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1996-08-20T00:00:00Z
2471389205;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1996-06-18T00:00:00Z
2471388611;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1998-08-31T00:00:00Z
2471373350;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1997-09-25T00:00:00Z
2471370497;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1998-08-10T00:00:00Z
2471369053;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1998-07-06T00:00:00Z
2471364418;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1996-09-25T00:00:00Z
2471364258;Fibrocapsa japonica;Present;48.10991;-4.29819;10;0.5;0;2010-08-23T00:00:00Z
2471361787;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1998-09-07T00:00:00Z
2471361612;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1996-07-03T00:00:00Z
2471360196;Fibrocapsa japonica;Present;47.83341;-3.94992;180;0.5;0;2008-10-21T00:00:00Z
2471357387;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;2003-09-24T00:00:00Z
2471325055;Fibrocapsa japonica;Present;47.83341;-3.94992;180;1;0;2004-09-29T00:00:00Z
2471297097;Fibrocapsa japonica;Present;47.77332;-3.84003;10;1;0;2001-09-18T00:00:00Z
2471284818;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;2003-07-21T00:00:00Z
2471283929;Fibrocapsa japonica;Present;45.96864;-1.20844;10;1;0;1998-08-31T00:00:00Z
2471283675;Fibrocapsa japonica;Present;46.05515;-1.13061;10;0.5;0;1998-07-21T00:00:00Z
2471271943;Fibrocapsa japonica;Present;45.79981;-1.20527;10;1;0;1999-08-09T00:00:00Z
