gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1912769352;Ficopomatus enigmaticus;present;51.46756;-3.22507;10000;;;2002-05-16T00:00:00Z
1912768752;Ficopomatus enigmaticus;present;51.46898;-3.08113;10000;;;2002-05-16T00:00:00Z
1554456935;Ficopomatus enigmaticus;present;51.46898;-3.08113;10000;;;2002-05-16T00:00:00Z
1550021237;Ficopomatus enigmaticus;present;51.63756;-3.95219;10000;;;2005-01-25T00:00:00Z
1253392986;Ficopomatus enigmaticus;present;-28.36222;32.41138;10000;;;2013-07-22T00:00:00Z
1253392981;Ficopomatus enigmaticus;present;-28.36222;32.41138;10000;;;2013-07-22T00:00:00Z
1913113420;Ficopomatus enigmaticus;present;-28.36222;32.41138;10000;;;2015-07-04T00:00:00Z
1253393099;Ficopomatus enigmaticus;present;-28.36222;32.41138;10000;;;2015-07-04T00:00:00Z
1253393081;Ficopomatus enigmaticus;present;-28.36222;32.41138;10000;;;2015-07-04T00:00:00Z
1913106749;Ficopomatus enigmaticus;present;-28.26083;32.4286;10000;;;2015-07-04T00:00:00Z
1253393089;Ficopomatus enigmaticus;present;-28.26083;32.4286;10000;;;2015-07-04T00:00:00Z
1253393082;Ficopomatus enigmaticus;present;-28.26083;32.4286;10000;;;2015-07-04T00:00:00Z
1913105994;Ficopomatus enigmaticus;present;-34.0411;25.5386;10000;;;2015-07-11T00:00:00Z
1253393086;Ficopomatus enigmaticus;present;-34.0411;25.5386;10000;;;2015-07-11T00:00:00Z
1253393080;Ficopomatus enigmaticus;present;-34.0411;25.5386;10000;;;2015-07-11T00:00:00Z
1100841794;Ficopomatus enigmaticus;present;-33.916;151.166;10000;;;
1253390497;Ficopomatus enigmaticus;present;-27.983;153.416;10000;;;
1253390530;Ficopomatus enigmaticus;present;-24.75;152.4;10000;;;
1253390572;Ficopomatus enigmaticus;present;-19.25;146.816;10000;;;
1972158405;Ficopomatus enigmaticus;present;52.4;4.7;5000;;;2000-06-27T00:00:00Z
1972158265;Ficopomatus enigmaticus;present;52.4;4.7;5000;;;2000-06-27T00:00:00Z
1972158084;Ficopomatus enigmaticus;present;52.4;4.7;5000;;;2000-06-27T00:00:00Z
