gbifID;scientificName;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1701938278;Neogobius melanostomus (Pallas, 1814);present;42.931122;-82.664368;;;;2000-01-01T00:00:00Z
1829212176;Neogobius melanostomus (Pallas, 1814);present;46.7199;-92.0436;;8;0;2000-05-02T00:00:00Z
1829215047;Neogobius melanostomus (Pallas, 1814);present;46.7204;-92.0488;;8.4;0;2000-05-02T00:00:00Z
1829183974;Neogobius melanostomus (Pallas, 1814);present;43.8058;-82.5842;;18;0;2000-05-10T00:00:00Z
925766407;Neogobius melanostomus (Pallas, 1814);present;41.585556;-82.834444;;;;2000-05-24T00:00:00Z
1211706288;Neogobius melanostomus (Pallas, 1814);present;42.29725;-82.68852;;;;2000-06-02T00:00:00Z
1211706274;Neogobius melanostomus (Pallas, 1814);present;42.29725;-82.68852;;;;2000-06-06T00:00:00Z
1889135991;Neogobius melanostomus (Pallas, 1814);present;43.111667;-83.523333;;;;2000-06-29T00:00:00Z
1829253898;Neogobius melanostomus (Pallas, 1814);present;46.7479;-92.0721;;8;0;2000-07-11T00:00:00Z
1829256624;Neogobius melanostomus (Pallas, 1814);present;46.6959;-92.0119;;4.8;0;2000-07-12T00:00:00Z
1829256930;Neogobius melanostomus (Pallas, 1814);present;46.7046;-92.0203;;32;0;2000-07-12T00:00:00Z
1829258216;Neogobius melanostomus (Pallas, 1814);present;46.7241;-92.0646;;11.5;0;2000-07-12T00:00:00Z
1829259369;Neogobius melanostomus (Pallas, 1814);present;46.7666;-92.0914;;28;0;2000-07-12T00:00:00Z
1211699815;Neogobius melanostomus (Pallas, 1814);present;42.2591232;-81.9077738;;;;2000-07-21T00:00:00Z
1889136160;Neogobius melanostomus (Pallas, 1814);present;42.735;-82.496667;;;;2000-07-26T00:00:00Z
1889136200;Neogobius melanostomus (Pallas, 1814);present;42.828333;-82.041667;;;;2000-07-26T00:00:00Z
1889136240;Neogobius melanostomus (Pallas, 1814);present;42.991667;-82.533333;;;;2000-07-27T00:00:00Z
1889136252;Neogobius melanostomus (Pallas, 1814);present;43.165;-82.503333;;;;2000-07-27T00:00:00Z
1829287993;Neogobius melanostomus (Pallas, 1814);present;41.5525;-82.7918;;10;0;2000-07-31T00:00:00Z
1829287983;Neogobius melanostomus (Pallas, 1814);present;41.5525;-82.7918;;10;0;2000-07-31T00:00:00Z
1829285808;Neogobius melanostomus (Pallas, 1814);present;41.5537;-82.7923;;10;0;2000-07-31T00:00:00Z
1829286790;Neogobius melanostomus (Pallas, 1814);present;41.5613;-82.7832;;15;0;2000-07-31T00:00:00Z
1829288663;Neogobius melanostomus (Pallas, 1814);present;41.5615;-82.7832;;15;0;2000-07-31T00:00:00Z
1829288565;Neogobius melanostomus (Pallas, 1814);present;41.5615;-82.7832;;15;0;2000-07-31T00:00:00Z
1829287477;Neogobius melanostomus (Pallas, 1814);present;41.5617;-82.6935;;10;0;2000-07-31T00:00:00Z
1829287411;Neogobius melanostomus (Pallas, 1814);present;41.5617;-82.6935;;10;0;2000-07-31T00:00:00Z
1829285397;Neogobius melanostomus (Pallas, 1814);present;41.5617;-82.6935;;10;0;2000-07-31T00:00:00Z
1829288094;Neogobius melanostomus (Pallas, 1814);present;41.5655;-82.7872;;15;0;2000-07-31T00:00:00Z
1829288070;Neogobius melanostomus (Pallas, 1814);present;41.5655;-82.7872;;15;0;2000-07-31T00:00:00Z
1829286204;Neogobius melanostomus (Pallas, 1814);present;41.5655;-82.7873;;15;0;2000-07-31T00:00:00Z
1829287073;Neogobius melanostomus (Pallas, 1814);present;41.5713;-82.7737;;20;0;2000-07-31T00:00:00Z
1829287036;Neogobius melanostomus (Pallas, 1814);present;41.5713;-82.7737;;20;0;2000-07-31T00:00:00Z
1829288907;Neogobius melanostomus (Pallas, 1814);present;41.5735;-82.7808;;20;0;2000-07-31T00:00:00Z
1829288883;Neogobius melanostomus (Pallas, 1814);present;41.5735;-82.7808;;20;0;2000-07-31T00:00:00Z
1829287117;Neogobius melanostomus (Pallas, 1814);present;41.5818;-82.7808;;20;0;2000-07-31T00:00:00Z
1829286942;Neogobius melanostomus (Pallas, 1814);present;41.5818;-82.7808;;20;0;2000-07-31T00:00:00Z
1829291786;Neogobius melanostomus (Pallas, 1814);present;41.5537;-82.7927;;10;0;2000-08-01T00:00:00Z
1829291666;Neogobius melanostomus (Pallas, 1814);present;41.5537;-82.7927;;10;0;2000-08-01T00:00:00Z
1829289884;Neogobius melanostomus (Pallas, 1814);present;41.5537;-82.7925;;10;0;2000-08-01T00:00:00Z
1829291249;Neogobius melanostomus (Pallas, 1814);present;41.5575;-82.7972;;10;0;2000-08-01T00:00:00Z
1829291075;Neogobius melanostomus (Pallas, 1814);present;41.5575;-82.7972;;10;0;2000-08-01T00:00:00Z
1829289640;Neogobius melanostomus (Pallas, 1814);present;41.5575;-82.7972;;10;0;2000-08-01T00:00:00Z
1829292243;Neogobius melanostomus (Pallas, 1814);present;41.5615;-82.7833;;15;0;2000-08-01T00:00:00Z
1829292089;Neogobius melanostomus (Pallas, 1814);present;41.5615;-82.7833;;15;0;2000-08-01T00:00:00Z
1829290273;Neogobius melanostomus (Pallas, 1814);present;41.5615;-82.7832;;15;0;2000-08-01T00:00:00Z
1829292417;Neogobius melanostomus (Pallas, 1814);present;41.5655;-82.7873;;15;0;2000-08-01T00:00:00Z
