gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1272050230;Ocinebrellus inornatus;present;46.606364;-124.04092;;;;2000-05-22T00:00:00Z
1272050217;Ocinebrellus inornatus;present;46.414;-123.938;;;;2002-04-29T00:00:00Z
1272050232;Ocinebrellus inornatus;present;46.439;-124.01;;;;2002-05-01T00:00:00Z
1272050200;Ocinebrellus inornatus;present;46.438;-124.008;;;;2002-10-06T00:00:00Z
1272050214;Ocinebrellus inornatus;present;46.46;-124.016;;;;2003-05-06T00:00:00Z
2265754003;Ocinebrellus inornatus;present;31.35;129.986;;226;0;2004-07-27T00:00:00Z
2265752818;Ocinebrellus inornatus;present;31.35;129.986;;226;0;2004-07-27T00:00:00Z
2265753564;Ocinebrellus inornatus;present;31.35;129.986;;225;0;2004-07-29T00:00:00Z
2265755415;Ocinebrellus inornatus;present;31.3499;129.9859;500;229;0;2005-07-27T00:00:00Z
2265755272;Ocinebrellus inornatus;present;31.3454;129.9881;500;229;0;2005-07-27T00:00:00Z
2265754578;Ocinebrellus inornatus;present;31.3454;129.9881;500;229;0;2005-07-27T00:00:00Z
2265755235;Ocinebrellus inornatus;present;31.34535;129.988133;500;229;0;2005-07-27T00:00:00Z
2265755084;Ocinebrellus inornatus;present;31.349833;129.9859;500;228;0;2005-07-29T00:00:00Z
1863558671;Ocinebrellus inornatus;present;45.57195;-1.04049;5000;;;2005-12-30T00:00:00Z
1272050213;Ocinebrellus inornatus;present;49.493107;-126.743774;;;;2007-01-01T00:00:00Z
1272049949;Ocinebrellus inornatus;present;49.001844;-123.321533;;;;2007-01-01T00:00:00Z
2265757480;Ocinebrellus inornatus;present;31.3454;129.9882;500;226;0;2007-06-04T00:00:00Z
2265755876;Ocinebrellus inornatus;present;31.3454;129.9882;500;226;0;2007-06-04T00:00:00Z
2265757122;Ocinebrellus inornatus;present;31.35;129.986;500;227;0;2007-06-08T00:00:00Z
2265756701;Ocinebrellus inornatus;present;31.3499;129.9859;500;226;0;2007-06-08T00:00:00Z
1877377931;Ocinebrellus inornatus;present;46.97968;-1.93645;5000;;;2010-12-31T00:00:00Z
1957755195;Ocinebrellus inornatus;present;51.45;4.05;5000;;;2012-06-26T00:00:00Z
1954460826;Ocinebrellus inornatus;present;51.5;3.9;5000;;;2013-10-30T00:00:00Z
1954376733;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2013-12-26T00:00:00Z
1953572828;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2014-03-01T00:00:00Z
1898306055;Ocinebrellus inornatus;present;49.0216;-123.842;;;;2014-05-27T00:00:00Z
1898323349;Ocinebrellus inornatus;present;49.024;-123.848;;;;2014-06-27T00:00:00Z
1976824594;Ocinebrellus inornatus;present;51.4;4.15;5000;;;2015-04-20T00:00:00Z
1973571135;Ocinebrellus inornatus;present;51.65;3.8;5000;;;2016-07-02T00:00:00Z
1970592119;Ocinebrellus inornatus;present;51.5;3.95;5000;;;2016-12-27T00:00:00Z
1971099047;Ocinebrellus inornatus;present;51.5;3.95;5000;;;2017-03-18T00:00:00Z
1967334620;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2017-04-17T00:00:00Z
1970690134;Ocinebrellus inornatus;present;51.5;3.9;5000;;;2017-04-20T00:00:00Z
1970581827;Ocinebrellus inornatus;present;51.55;4;5000;;;2017-04-24T00:00:00Z
1969990755;Ocinebrellus inornatus;present;51.5;4.15;5000;;;2017-06-09T00:00:00Z
1967677658;Ocinebrellus inornatus;present;51.4;4.2;5000;;;2017-08-28T00:00:00Z
1968869554;Ocinebrellus inornatus;present;51.4;4.1;5000;;;2017-09-16T00:00:00Z
1968707163;Ocinebrellus inornatus;present;51.45;4.05;5000;;;2017-10-09T00:00:00Z
1967334626;Ocinebrellus inornatus;present;51.5;3.9;5000;;;2017-11-20T00:00:00Z
1968261769;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2017-11-22T00:00:00Z
1968081830;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2017-11-22T00:00:00Z
1968176894;Ocinebrellus inornatus;present;51.5;4;5000;;;2017-12-30T00:00:00Z
1968093778;Ocinebrellus inornatus;present;51.5;4.15;5000;;;2018-01-05T00:00:00Z
1968100322;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2018-01-06T00:00:00Z
1967862014;Ocinebrellus inornatus;present;51.4;3.7;5000;;;2018-02-03T00:00:00Z
1967722350;Ocinebrellus inornatus;present;51.6;4.05;5000;;;2018-02-18T00:00:00Z
1967699644;Ocinebrellus inornatus;present;51.5;4.1;5000;;;2018-02-22T00:00:00Z
1967015553;Ocinebrellus inornatus;present;51.55;4;5000;;;2018-04-19T00:00:00Z
1966940173;Ocinebrellus inornatus;present;51.7;3.85;5000;;;2018-04-20T00:00:00Z
1966028121;Ocinebrellus inornatus;present;51.45;3.5;5000;;;2018-06-25T00:00:00Z
1965236305;Ocinebrellus inornatus;present;51.6;4;5000;;;2018-09-01T00:00:00Z
1965236088;Ocinebrellus inornatus;present;51.6;4;5000;;;2018-09-01T00:00:00Z
1965235577;Ocinebrellus inornatus;present;51.6;4;5000;;;2018-09-01T00:00:00Z
1964511031;Ocinebrellus inornatus;present;51.5;4.05;5000;;;2018-11-02T00:00:00Z
899244058;Ocinebrellus inornatus;present;47.83333;-122.43333;;;;
899280242;Ocinebrellus inornatus;present;47.0975;-122.91028;;;;
899523987;Ocinebrellus inornatus;present;46.73417;-124.07694;;;;
899516244;Ocinebrellus inornatus;present;46.73417;-124.07694;;;;
2444234204;Ocinebrellus inornatus;present;44.71677;142.5;;;;
2444231226;Ocinebrellus inornatus;present;44.71677;142.5;;;;
215829207;Ocinebrellus inornatus;present;43.2;141;;;;
