gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1896916591;Rapana venosa;present;36.885937;-76.274986;;;;2000-12-31T00:00:00Z
1896916648;Rapana venosa;present;36.901587;-76.345367;;;;2000-12-31T00:00:00Z
1896916863;Rapana venosa;present;36.928889;-76.241111;;;;2000-12-31T00:00:00Z
1896916943;Rapana venosa;present;36.955425;-76.254662;;;;2000-12-31T00:00:00Z
1896917117;Rapana venosa;present;36.97848;-76.127713;;;;2000-12-31T00:00:00Z
1896917154;Rapana venosa;present;36.994053;-76.48613;;;;2000-12-31T00:00:00Z
1896917541;Rapana venosa;present;37.033478;-76.082989;;;;2000-12-31T00:00:00Z
1896917664;Rapana venosa;present;37.042924;-76.293275;;;;2000-12-31T00:00:00Z
2268564912;Rapana venosa;present;36.97813;-76.3734;;3.4;0;2001-01-01T00:00:00Z
1829670465;Rapana venosa;present;34.639323;135.025055;;;;2002-03-01T00:00:00Z
1830576975;Rapana venosa;present;34.095131;135.10569;;;;2003-08-08T00:00:00Z
1438653584;Rapana venosa;present;36.951698;-76.339203;4023;;;2004-01-01T00:00:00Z
1829670287;Rapana venosa;present;34.71707;137.046;;;;2004-11-01T00:00:00Z
856697448;Rapana venosa;present;52.2;4.016667;;18;;2005-11-23T00:00:00Z
856741385;Rapana venosa;present;52.166667;4.25;;20;;2007-08-13T00:00:00Z
2265763219;Rapana venosa;present;35.41;139.89;;;;2008-06-19T00:00:00Z
2265766179;Rapana venosa;present;32.54;130.43;;;;2008-07-01T12:00:00Z
2265765484;Rapana venosa;present;32.54;130.41;;;;2008-07-02T11:30:00Z
1057495048;Rapana venosa;present;32.586111;130.384444;;;;2010-01-30T00:00:00Z
2265763553;Rapana venosa;present;35.41;139.89;;;;2010-06-23T09:30:00Z
2265763759;Rapana venosa;present;35.41;139.89;;;;2011-06-16T09:35:00Z
2265763972;Rapana venosa;present;35.41;139.89;;;;2011-06-16T11:30:00Z
2265767251;Rapana venosa;present;33.6;131.23;;;;2011-06-17T13:42:00Z
1802457010;Rapana venosa;present;16.062088;108.247083;100;;;2011-12-02T00:00:00Z
1969811667;Rapana venosa;present;52.3;4.45;5000;;;2011-12-11T00:00:00Z
2265766112;Rapana venosa;present;32.54;130.43;;;;2012-04-22T13:19:00Z
2265766490;Rapana venosa;present;32.54;130.43;;;;2012-04-22T14:20:00Z
2265767039;Rapana venosa;present;33.61;131.21;;;;2012-06-20T15:39:00Z
1957078244;Rapana venosa;present;52.45;4.55;5000;;;2012-10-14T00:00:00Z
2265768159;Rapana venosa;present;34.69;137.31;;;;2013-04-11T12:50:00Z
2265763801;Rapana venosa;present;35.41;139.89;;;;2013-06-06T09:00:00Z
2265767572;Rapana venosa;present;33.6;131.23;;;;2013-07-09T14:49:00Z
2265766836;Rapana venosa;present;33.6;131.23;;;;2013-07-09T16:06:00Z
2306823844;Rapana venosa;present;29.9667;113.683;;;;2013-07-17T00:00:00Z
2306805436;Rapana venosa;present;29.9667;113.683;;;;2013-07-17T00:00:00Z
2306083878;Rapana venosa;present;29.9667;113.683;;;;2013-07-17T00:00:00Z
2310725694;Rapana venosa;present;36.99;-76.33;;;;2013-11-07T00:00:00Z
2251354057;Rapana venosa;present;36.994;-76.328;;7.9;0;2013-11-07T00:00:00Z
1317801609;Rapana venosa;present;36.994;-76.328;;7.9;0;2013-11-07T00:00:00Z
1024227199;Rapana venosa;present;-36.300566;-56.758418;214;;;2014-03-22T00:00:00Z
2265768475;Rapana venosa;present;33.61;131.21;;;;2014-06-13T14:52:00Z
2265768201;Rapana venosa;present;33.6;131.23;;;;2014-06-14T16:17:00Z
1142264032;Rapana venosa;present;-34.654281;-54.141675;;;;2015-02-02T00:00:00Z
1571056927;Rapana venosa;present;34.641876;135.118001;27;;;2015-05-28T12:49:25Z
1545647737;Rapana venosa;present;54.25724;-5.79875;1000;;;2015-07-04T00:00:00Z
1453521750;Rapana venosa;present;42.689502;27.714214;61;;;2015-08-16T17:46:00Z
1836681138;Rapana venosa;present;42.263547;27.753288;15;;;2015-10-25T10:04:41Z
1978470080;Rapana venosa;present;44.210772;12.392798;559;;;2015-12-08T09:22:17Z
1828935995;Rapana venosa;present;37.0585;-76.5603;;3.2;0;2016-01-14T00:00:00Z
1828915369;Rapana venosa;present;37.0585;-76.5603;;3.2;0;2016-01-14T00:00:00Z
2311107233;Rapana venosa;present;37.06;-76.56;;;;2016-01-14T00:00:00Z
2311070671;Rapana venosa;present;37.06;-76.56;;;;2016-01-14T00:00:00Z
1249291007;Rapana venosa;present;36.978421;126.332474;3401;;;2016-02-10T00:00:00Z
1914320555;Rapana venosa;present;46.224812;30.611021;1052;;;2016-03-05T16:23:44Z
2456506513;Rapana venosa;present;-35.390309;-57.15723;1457;;;2016-05-20T00:00:00Z
1291682279;Rapana venosa;present;-36.29356;-56.776785;;;;2016-07-21T00:00:00Z
1291142709;Rapana venosa;present;-36.29356;-56.776785;;;;2016-07-21T11:20:00Z
1500220641;Rapana venosa;present;36.552363;126.327217;;;;2016-12-24T00:00:00Z
1500221011;Rapana venosa;present;44.209526;12.396526;760;;;2017-01-15T10:24:11Z
2294842204;Rapana venosa;present;45.398311;29.592542;11;;;2017-06-27T11:28:26Z
2294798202;Rapana venosa;present;45.398438;29.592691;21;;;2017-06-27T11:29:17Z
2329739158;Rapana venosa;present;43.919193;28.629564;250;;;2017-07-14T00:00:00Z
1891349315;Rapana venosa;present;42.386097;41.56633;196;;;2017-08-10T00:00:00Z
1944374303;Rapana venosa;present;42.386103;41.566319;196;;;2017-08-10T00:00:00Z
1677297338;Rapana venosa;present;42.386001;41.566815;196;;;2017-08-10T03:10:24Z
1831094939;Rapana venosa;present;44.22137;12.386555;5;;;2018-02-28T14:16:34Z
1836574927;Rapana venosa;present;44.217872;12.388888;5;;;2018-03-04T11:30:10Z
1978415428;Rapana venosa;present;46.627425;31.194741;5000;;;2018-05-19T19:26:00Z
1890691033;Rapana venosa;present;36.840445;126.163907;;;;2018-08-05T09:55:00Z
2329741824;Rapana venosa;present;43.681282;28.560677;250;;;2018-09-18T00:00:00Z
1933590609;Rapana venosa;present;36.670623;126.285907;;;;2018-10-31T17:00:00Z
1986577162;Rapana venosa;present;38.882506;121.777742;8415;;;2019-01-04T13:24:50Z
2005397085;Rapana venosa;present;42.256571;27.750694;234;;;2019-02-20T12:34:00Z
2252049089;Rapana venosa;present;44.445343;28.784234;210;;;2019-05-09T13:11:00Z
2252056253;Rapana venosa;present;35.992158;126.599774;204;;;2019-05-12T00:00:00Z
2366027693;Rapana venosa;present;45.109914;35.475058;22;;;2019-07-23T00:00:00Z
2366107595;Rapana venosa;present;44.679998;37.802063;644;;;2019-08-07T09:12:00Z
2366104902;Rapana venosa;present;44.679998;37.802063;644;;;2019-08-07T12:22:00Z
203568670;Rapana venosa;present;-35.531;-56.532;;;;
203568669;Rapana venosa;present;-35.436;-56.373;;;;
1328190779;Rapana venosa;present;-35.130001;-55.400002;;;;
1328190740;Rapana venosa;present;-35;-55;;;;
1328190775;Rapana venosa;present;-34.91;-56.209999;;;;
215886598;Rapana venosa;present;26.335833;127.801389;;;;
215886823;Rapana venosa;present;29.5;94.933333;;;;
215886642;Rapana venosa;present;34.433333;135.8;;5;;
393926857;Rapana venosa;present;35.12;138.22;;;;
215886677;Rapana venosa;present;35.266667;139.583333;;;;
856765059;Rapana venosa;present;35.26708;139.436925;;27;9;
295303936;Rapana venosa;present;35.30646;136.79137;;;;
295303929;Rapana venosa;present;35.30646;136.79137;;;;
295303928;Rapana venosa;present;35.30646;136.79137;;;;
215886597;Rapana venosa;present;35.466667;133.066667;;;;
415482571;Rapana venosa;present;35.49815;139.70155;;;;
215886596;Rapana venosa;present;35.6;140.116667;;;;
215886595;Rapana venosa;present;36.266667;139.133333;;;;
238244963;Rapana venosa;present;36.35;126.6;;;;
215886631;Rapana venosa;present;36.483333;136.483333;;;;
215886317;Rapana venosa;present;36.5;136.5;;;;
295303993;Rapana venosa;present;36.78836;137.05435;;;;
295303992;Rapana venosa;present;36.78836;137.05435;;;;
295303991;Rapana venosa;present;36.78836;137.05435;;;;
295303941;Rapana venosa;present;36.81652;137.40981;;;;
295303927;Rapana venosa;present;36.86051;136.95755;;;;
295303926;Rapana venosa;present;36.86051;136.95755;;;;
238244906;Rapana venosa;present;36.983333;126.533333;;;;
238244919;Rapana venosa;present;37.216667;126.55;;;;
238244912;Rapana venosa;present;37.216667;126.55;;;;
2251209529;Rapana venosa;present;37.51;122.12;;;;
215885890;Rapana venosa;present;38.266667;140.866667;;;;
415482573;Rapana venosa;present;38.37913;141.07556;;;;
393926843;Rapana venosa;present;39.9;139.95;;;;
393926842;Rapana venosa;present;39.9;139.95;;;;
856725966;Rapana venosa;present;41.234446;37.023926;;;;
858031062;Rapana venosa;present;42.06252;27.982166;;;;
215886293;Rapana venosa;present;42.333333;42.666667;;;;
858031029;Rapana venosa;present;42.371803;27.711819;;;;
856779657;Rapana venosa;present;42.419852;27.696289;;;;
1913884087;Rapana venosa;present;43.181147;27.90802;;12.5;2.5;
1913883604;Rapana venosa;present;43.868106;39.227844;;4;1;
856767295;Rapana venosa;present;44.616462;33.507579;;10;2;
856732370;Rapana venosa;present;45.224733;12.293701;;;;
856697442;Rapana venosa;present;52.166667;4.25;;;;
