gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1314322801;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2000-02-09T00:00:00Z
1314321328;Rhithropanopeus harrisii;present;30.413;-88.019;370;;;2000-02-17T00:00:00Z
1226930314;Rhithropanopeus harrisii;present;51.23872;4.42635;30;;;2000-05-25T00:00:00Z
1314316061;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2000-07-05T00:00:00Z
1314316047;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2000-07-05T00:00:00Z
1314316004;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2000-07-05T00:00:00Z
1314315993;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2000-07-05T00:00:00Z
1226930280;Rhithropanopeus harrisii;present;51.14566;3.77781;30;;;2000-08-14T00:00:00Z
1226930307;Rhithropanopeus harrisii;present;51.1785;3.79571;30;;;2000-08-14T00:00:00Z
1226930265;Rhithropanopeus harrisii;present;51.20761;3.80311;30;;;2000-08-14T00:00:00Z
1226930284;Rhithropanopeus harrisii;present;51.10998;3.74103;30;;;2000-08-17T00:00:00Z
1226930300;Rhithropanopeus harrisii;present;51.11094;3.74571;30;;;2000-08-17T00:00:00Z
55547237;Rhithropanopeus harrisii;present;52.466016;4.622008;10;;;2000-09-11T00:00:00Z
55611441;Rhithropanopeus harrisii;present;52.022731;5.11301;10;;;2000-09-14T00:00:00Z
1226930270;Rhithropanopeus harrisii;present;51.20761;3.80311;30;;;2000-09-18T00:00:00Z
55637617;Rhithropanopeus harrisii;present;51.210293;3.802221;10;;;2000-09-18T00:00:00Z
1314309190;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2000-11-20T00:00:00Z
1234576497;Rhithropanopeus harrisii;present;26.166667;-97.166667;;;;2000-12-01T00:00:00Z
1314306477;Rhithropanopeus harrisii;present;30.2583;-88.2133;370;;;2000-12-13T00:00:00Z
2268581345;Rhithropanopeus harrisii;present;36.9814;-76.31315;;5.8;0;2001-01-01T00:00:00Z
2268562298;Rhithropanopeus harrisii;present;37.46348;-76.1054;;3.3;0;2001-01-01T00:00:00Z
1314304349;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2001-02-05T00:00:00Z
1314299763;Rhithropanopeus harrisii;present;30.2467;-88.13;370;;;2001-03-13T00:00:00Z
1314298789;Rhithropanopeus harrisii;present;30.28;-87.545;370;;;2001-03-30T00:00:00Z
1314299001;Rhithropanopeus harrisii;present;30.305;-87.54;370;;;2001-03-30T00:00:00Z
1314297228;Rhithropanopeus harrisii;present;30.235;-87.7467;370;;;2001-04-03T00:00:00Z
1314297997;Rhithropanopeus harrisii;present;30.325;-88.15;370;;;2001-04-03T00:00:00Z
