gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
2475905146;Ruditapes philippinarum;present;48.78542;-3.57713;50;;;2000-01-01T00:00:00Z
1272051912;Ruditapes philippinarum;present;21.324878;-157.967262;;;;2000-01-01T00:00:00Z
1272051838;Ruditapes philippinarum;present;33.76317;-118.25259;;;;2000-01-01T00:00:00Z
1272051869;Ruditapes philippinarum;present;40.85532;-124.09187;;;;2000-01-01T00:00:00Z
1272051866;Ruditapes philippinarum;present;43.392325;-124.20146;;;;2000-01-01T00:00:00Z
1272051909;Ruditapes philippinarum;present;46.636855;-123.95916;;;;2000-05-21T00:00:00Z
1272051941;Ruditapes philippinarum;present;46.3951;-123.959;;;;2000-05-22T00:00:00Z
1272051937;Ruditapes philippinarum;present;46.403;-123.953;;;;2000-05-22T00:00:00Z
1272051927;Ruditapes philippinarum;present;46.606364;-124.04092;;;;2000-05-22T00:00:00Z
2268651392;Ruditapes philippinarum;present;37.49703;-122.1015;;6.4;0;2000-08-01T00:00:00Z
2268682270;Ruditapes philippinarum;present;37.58363;-122.2406;;14.6;0;2000-08-01T00:00:00Z
2268673943;Ruditapes philippinarum;present;37.59415;-122.173;;2.5;0;2000-08-01T00:00:00Z
2268663963;Ruditapes philippinarum;present;37.65778;-122.1939;;1.5;0;2000-08-01T00:00:00Z
2268663878;Ruditapes philippinarum;present;37.67127;-122.2574;;5.2;0;2000-08-01T00:00:00Z
2268672481;Ruditapes philippinarum;present;37.75237;-122.2176;;1.2;0;2000-08-01T00:00:00Z
1272051889;Ruditapes philippinarum;present;34.15057;-119.20683;;;;2000-09-13T00:00:00Z
1272051870;Ruditapes philippinarum;present;34.15307;-119.21005;;;;2000-09-13T00:00:00Z
1272051911;Ruditapes philippinarum;present;40.8313;-124.085;;;;2001-01-01T00:00:00Z
1272051854;Ruditapes philippinarum;present;40.855317;-124.09186;;;;2001-01-01T00:00:00Z
609453245;Ruditapes philippinarum;present;37.8115;-122.409056;;1;;2001-03-24T00:00:00Z
295306532;Ruditapes philippinarum;present;36.74818;137.21277;;;;2001-03-29T00:00:00Z
609453651;Ruditapes philippinarum;present;37.99233;-122.45162;;;;2001-03-31T00:00:00Z
609453646;Ruditapes philippinarum;present;37.99233;-122.45162;;;;2001-03-31T00:00:00Z
609455210;Ruditapes philippinarum;present;37.61167;-122.30133;;4.1;;2001-06-05T00:00:00Z
609455050;Ruditapes philippinarum;present;37.98967;-122.413167;;3.2;;2001-06-07T00:00:00Z
609455024;Ruditapes philippinarum;present;38.0228;-122.433;;3.1;;2001-06-07T00:00:00Z
609455182;Ruditapes philippinarum;present;38.08733;-122.34417;;2.9;;2001-06-12T00:00:00Z
609452840;Ruditapes philippinarum;present;37.70688;-122.26149;;3;;2001-08-10T00:00:00Z
609452829;Ruditapes philippinarum;present;37.70688;-122.26149;;3;;2001-08-10T00:00:00Z
609452819;Ruditapes philippinarum;present;37.70688;-122.26149;;3;;2001-08-10T00:00:00Z
2268673290;Ruditapes philippinarum;present;38.04483;-122.387;;3.4;0;2001-08-10T00:00:00Z
2268708717;Ruditapes philippinarum;present;37.56193;-122.2388;;1.5;0;2001-08-16T00:00:00Z
2268685793;Ruditapes philippinarum;present;37.48835;-122.0862;;4;0;2001-08-17T00:00:00Z
380180856;Ruditapes philippinarum;present;36.36073;140.61249;;;;2001-08-18T00:00:00Z
380180855;Ruditapes philippinarum;present;36.36073;140.61249;;;;2001-08-18T00:00:00Z
380180854;Ruditapes philippinarum;present;36.36073;140.61249;;;;2001-08-18T00:00:00Z
380180853;Ruditapes philippinarum;present;36.36073;140.61249;;;;2001-08-18T00:00:00Z
380180852;Ruditapes philippinarum;present;36.36073;140.61249;;;;2001-08-18T00:00:00Z
380180851;Ruditapes philippinarum;present;36.36073;140.61249;;;;2001-08-18T00:00:00Z
2268671945;Ruditapes philippinarum;present;37.4803;-122.0941;;1.2;0;2001-08-21T00:00:00Z
609448959;Ruditapes philippinarum;present;38.01617;-122.43617;;4.6;;2001-09-10T00:00:00Z
609448962;Ruditapes philippinarum;present;38.0255;-122.3445;;3.9;;2001-09-10T00:00:00Z
609448994;Ruditapes philippinarum;present;38.046;-122.4235;;3.4;;2001-09-10T00:00:00Z
609449023;Ruditapes philippinarum;present;38.0655;-122.32483;;4.5;;2001-09-10T00:00:00Z
609449013;Ruditapes philippinarum;present;37.9925;-122.40667;;3.8;;2001-09-11T00:00:00Z
609448900;Ruditapes philippinarum;present;37.6055;-122.29233;;6.3;;2001-09-18T00:00:00Z
609448889;Ruditapes philippinarum;present;37.67783;-122.3325;;9.9;;2001-09-18T00:00:00Z
609454976;Ruditapes philippinarum;present;37.6833;-122.23282;;2;;2001-09-19T00:00:00Z
609455241;Ruditapes philippinarum;present;37.75568;-122.30899;;4.9;;2001-10-17T00:00:00Z
609455290;Ruditapes philippinarum;present;37.72518;-122.32985;;15.15;0.25;2001-10-24T00:00:00Z
609454085;Ruditapes philippinarum;present;37.72896;-122.28686;;3.95;0.15;2001-10-24T00:00:00Z
609448807;Ruditapes philippinarum;present;37.02417;-122.3465;;3.4;;2001-10-29T00:00:00Z
609448835;Ruditapes philippinarum;present;37.75867;-122.3035;;4.6;;2001-10-30T00:00:00Z
1877029179;Ruditapes philippinarum;present;44.57347;-1.22119;5000;;;2001-12-31T00:00:00Z
