gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1272051520;Styela clava;present;40.80703;-124.1667;;;;2000-01-01T00:00:00Z
1272051463;Styela clava;present;40.80738;-124.16006;;;;2000-01-01T00:00:00Z
1272051341;Styela clava;present;43.418016;-124.20867;;;;2000-01-01T00:00:00Z
1559575042;Styela clava;present;51.58496;0.79669;100;;;2000-03-01T00:00:00Z
1559532980;Styela clava;present;51.58496;0.79669;100;;;2000-03-01T00:00:00Z
1570653466;Styela clava;present;51.32568;3.22595;100;;;2000-05-12T00:00:00Z
1570653481;Styela clava;present;51.33319;3.20234;100;;;2000-05-27T00:00:00Z
1557793729;Styela clava;present;50.63306;-1.901873;100;;;2000-06-10T00:00:00Z
1557934924;Styela clava;present;50.70016;-0.907347;100;;;2000-06-10T00:00:00Z
1557923255;Styela clava;present;50.70124;-0.910597;100;;;2000-06-10T00:00:00Z
2244386706;Styela clava;present;50.8175;-1.328;500;;;2000-06-11T00:00:00Z
1557775640;Styela clava;present;50.65326;-1.906528;100;;;2000-06-11T00:00:00Z
1557933696;Styela clava;present;50.74461;-0.847722;100;;;2000-06-11T00:00:00Z
1557746309;Styela clava;present;50.74675;-0.852505;100;;;2000-06-11T00:00:00Z
1557745910;Styela clava;present;50.74675;-0.852505;100;;;2000-06-11T00:00:00Z
2244387353;Styela clava;present;50.8953;-1.4047;500;;;2000-06-18T00:00:00Z
1557844882;Styela clava;present;50.744;-0.862123;100;;;2000-06-18T00:00:00Z
1557740236;Styela clava;present;50.63877;-1.903749;100;;;2000-06-24T00:00:00Z
1557881205;Styela clava;present;50.63917;-1.9015;100;;;2000-06-24T00:00:00Z
1557768084;Styela clava;present;50.62203;-1.904427;100;;;2000-06-25T00:00:00Z
1557753552;Styela clava;present;50.62203;-1.904427;100;;;2000-06-25T00:00:00Z
1557862850;Styela clava;present;50.64833;-1.907323;100;;;2000-06-25T00:00:00Z
1557809327;Styela clava;present;50.58363;-2.000699;100;;;2000-07-02T00:00:00Z
1557716738;Styela clava;present;50.61149;-1.931276;100;;;2000-07-06T00:00:00Z
1557732830;Styela clava;present;50.61314;-1.914191;100;;;2000-07-16T00:00:00Z
1272051405;Styela clava;present;31.855398;-116.62468;;;;2000-08-01T00:00:00Z
1272051371;Styela clava;present;31.86225;-116.66193;;;;2000-08-01T00:00:00Z
1272051392;Styela clava;present;32.65194;-117.14944;;;;2000-08-01T00:00:00Z
1272051438;Styela clava;present;33.71306;-118.26833;;;;2000-08-01T00:00:00Z
1272051416;Styela clava;present;33.721948;-118.28074;;;;2000-08-01T00:00:00Z
1272051415;Styela clava;present;33.72861;-118.06;;;;2000-08-01T00:00:00Z
1272051424;Styela clava;present;33.75806;-118.1894;;;;2000-08-01T00:00:00Z
1272051398;Styela clava;present;33.764307;-118.24791;;;;2000-08-01T00:00:00Z
1272051408;Styela clava;present;33.76444;-118.24972;;;;2000-08-01T00:00:00Z
1272051256;Styela clava;present;33.84639;-118.39694;;;;2000-08-01T00:00:00Z
1272051397;Styela clava;present;33.849042;-118.399851;;;;2000-08-01T00:00:00Z
1272051389;Styela clava;present;33.971801;-118.449461;;;;2000-08-01T00:00:00Z
1272051224;Styela clava;present;33.97222;-118.45222;;;;2000-08-01T00:00:00Z
1272051428;Styela clava;present;34.14806;-119.20194;;;;2000-08-01T00:00:00Z
1272051402;Styela clava;present;34.162315;-119.224749;;;;2000-08-01T00:00:00Z
1272051432;Styela clava;present;34.16361;-119.2228;;;;2000-08-01T00:00:00Z
1272051370;Styela clava;present;34.17295;-119.227055;;;;2000-08-01T00:00:00Z
1272051429;Styela clava;present;34.17306;-119.22694;;;;2000-08-01T00:00:00Z
1557755441;Styela clava;present;50.79386;-0.109354;100;;;2000-08-06T00:00:00Z
1557809837;Styela clava;present;50.68257;-1.855054;100;;;2000-08-20T00:00:00Z
1557879664;Styela clava;present;50.68544;-1.881463;100;;;2000-08-20T00:00:00Z
609432844;Styela clava;present;37.804878;-122.44347;;;;2000-09-05T00:00:00Z
1557915982;Styela clava;present;50.69036;-0.889295;100;;;2000-09-09T00:00:00Z
1557766959;Styela clava;present;50.69036;-0.889295;100;;;2000-09-09T00:00:00Z
1557807251;Styela clava;present;50.6913;-0.888678;100;;;2000-09-09T00:00:00Z
1557785851;Styela clava;present;50.6913;-0.888678;100;;;2000-09-09T00:00:00Z
1557762463;Styela clava;present;50.6913;-0.888678;100;;;2000-09-09T00:00:00Z
1557862796;Styela clava;present;50.67225;-0.677924;100;;;2000-09-10T00:00:00Z
1557853512;Styela clava;present;50.70033;-0.817203;100;;;2000-09-10T00:00:00Z
1557811618;Styela clava;present;50.70041;-0.818687;100;;;2000-09-10T00:00:00Z
1272051482;Styela clava;present;38.32933;-123.0552;;;;2000-09-11T00:00:00Z
1272051478;Styela clava;present;34.1459;-119.2105;;;;2000-11-08T00:00:00Z
1272051509;Styela clava;present;34.1468;-119.21185;;;;2000-11-08T00:00:00Z
1272051471;Styela clava;present;34.1477;-119.20415;;;;2000-11-08T00:00:00Z
1272051449;Styela clava;present;34.14857;-119.20573;;;;2000-11-08T00:00:00Z
1272051505;Styela clava;present;34.14872;-119.20163;;;;2000-11-08T00:00:00Z
1272051491;Styela clava;present;34.14993;-119.2099;;;;2000-11-08T00:00:00Z
1272051485;Styela clava;present;34.15155;-119.20668;;;;2000-11-08T00:00:00Z
1272051393;Styela clava;present;40.807033;-124.1667;;;;2001-01-01T00:00:00Z
1272051383;Styela clava;present;40.807383;-124.16006;;;;2001-01-01T00:00:00Z
609456094;Styela clava;present;37.010417;-119.840806;;0.1;;2001-03-07T00:00:00Z
609452229;Styela clava;present;37.664194;-122.373389;;;;2001-03-15T00:00:00Z
609452224;Styela clava;present;37.664194;-122.373389;;;;2001-03-15T00:00:00Z
609452207;Styela clava;present;37.664194;-122.373389;;;;2001-03-15T00:00:00Z
609452186;Styela clava;present;37.664194;-122.373389;;;;2001-03-15T00:00:00Z
609459840;Styela clava;present;37.77875;-122.25374;;1;;2001-03-15T00:00:00Z
609459854;Styela clava;present;37.77983;-122.25514;;1;;2001-03-15T00:00:00Z
609452931;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452926;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452918;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452304;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452298;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452289;Styela clava;present;37.676778;-122.379639;;0.5;;2001-03-21T00:00:00Z
609452278;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452271;Styela clava;present;37.676778;-122.379639;;;;2001-03-21T00:00:00Z
609452509;Styela clava;present;37.423722;-122.314889;;1;;2001-03-24T00:00:00Z
609452517;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
609452495;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
609452490;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
609452486;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
609452474;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
609452468;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
609452456;Styela clava;present;37.590389;-122.314889;;1;;2001-03-24T00:00:00Z
