gbifID;species;occurrenceStatus;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;depth;depthAccuracy;eventDate
1272051929;Urosalpinx cinerea;present;40.8313;-124.0845;;;;2000-01-01T00:00:00Z
1272051832;Urosalpinx cinerea;present;46.403;-123.953;;;;2000-05-22T00:00:00Z
609439955;Urosalpinx cinerea;present;37.692638;-122.18847;;;;2000-09-15T00:00:00Z
1272051865;Urosalpinx cinerea;present;40.8313;-124.085;;;;2001-01-01T00:00:00Z
1272051856;Urosalpinx cinerea;present;40.855317;-124.09186;;;;2001-01-01T00:00:00Z
609452982;Urosalpinx cinerea;present;37.696;-122.192111;;1;;2001-03-24T00:00:00Z
609452951;Urosalpinx cinerea;present;37.697583;-122.192194;;1;;2001-03-24T00:00:00Z
609453468;Urosalpinx cinerea;present;37.75171;-122.25346;;;;2001-03-31T00:00:00Z
609453325;Urosalpinx cinerea;present;37.49673;-122.22196;;1;;2001-04-27T00:00:00Z
609455465;Urosalpinx cinerea;present;37.50077;-122.22431;;1;;2001-04-27T00:00:00Z
609455457;Urosalpinx cinerea;present;37.50077;-122.22431;;1;;2001-04-27T00:00:00Z
609452866;Urosalpinx cinerea;present;37.65848;-122.3306;;7.5;;2001-08-23T00:00:00Z
609448888;Urosalpinx cinerea;present;37.67783;-122.3325;;9.9;;2001-09-18T00:00:00Z
609454071;Urosalpinx cinerea;present;37.75568;-122.30894;;3.7;1.2;2001-10-17T00:00:00Z
609453867;Urosalpinx cinerea;present;37.6376;-122.29506;;5.9;;2002-01-30T00:00:00Z
609455452;Urosalpinx cinerea;present;37.65328;-122.23365;;3.7;;2002-02-27T00:00:00Z
609458898;Urosalpinx cinerea;present;37.50246;-122.21137;;1;;2002-03-29T00:00:00Z
1272051825;Urosalpinx cinerea;present;46.495;-124.027;;;;2002-03-29T00:00:00Z
609458686;Urosalpinx cinerea;present;37.6075;-122.301;;5.2;;2002-06-04T00:00:00Z
609458770;Urosalpinx cinerea;present;37.685;-122.24367;;4.3;;2002-06-05T00:00:00Z
609458807;Urosalpinx cinerea;present;37.67967;-122.24233;;3.7;;2002-07-03T00:00:00Z
609454610;Urosalpinx cinerea;present;37.50247;-122.21132;;1;;2002-09-20T00:00:00Z
1272051841;Urosalpinx cinerea;present;46.479;-124.018;;;;2002-10-05T00:00:00Z
1272051863;Urosalpinx cinerea;present;46.438;-124.008;;;;2002-10-06T00:00:00Z
1272051853;Urosalpinx cinerea;present;46.633;-123.942;;;;2002-10-06T00:00:00Z
609465203;Urosalpinx cinerea;present;37.58872;-122.3175;;1;;2003-04-30T00:00:00Z
1272051844;Urosalpinx cinerea;present;46.54;-123.94;;;;2003-05-03T00:00:00Z
1272051834;Urosalpinx cinerea;present;46.46;-124.016;;;;2003-05-06T00:00:00Z
609460105;Urosalpinx cinerea;present;37.86875;-122.49637;;1;;2003-05-08T00:00:00Z
351557507;Urosalpinx cinerea;present;41.244688;-72.968287;1000;;;2003-12-01T00:00:00Z
609466054;Urosalpinx cinerea;present;37.80738;-122.44113;;1;;2004-02-22T00:00:00Z
1272051842;Urosalpinx cinerea;present;46.528635;-123.980713;;;;2005-01-01T00:00:00Z
1563352868;Urosalpinx cinerea;present;41.160376;-72.23369;956;;;2005-05-01T00:00:00Z
1272051846;Urosalpinx cinerea;present;37.8095;-122.47607;;;;2005-06-07T00:00:00Z
1272051891;Urosalpinx cinerea;present;37.83187;-122.47366;;;;2005-06-09T00:00:00Z
1272051848;Urosalpinx cinerea;present;37.86798;-122.43497;;;;2005-08-19T00:00:00Z
1272051900;Urosalpinx cinerea;present;37.82534;-122.42228;;;;2005-11-16T00:00:00Z
1272051873;Urosalpinx cinerea;present;46.6;-124;;;;2006-07-03T00:00:00Z
1945981435;Urosalpinx cinerea;present;51.78081;0.95234;100;;;2008-08-02T00:00:00Z
1945902717;Urosalpinx cinerea;present;51.37953;1.26276;100;;;2009-06-06T00:00:00Z
2268740069;Urosalpinx cinerea;present;31.42325;-81.29463;;5.7;0;2009-06-09T00:00:00Z
924154640;Urosalpinx cinerea;present;41.48;-71.36;;;;2009-07-21T00:00:00Z
1557904148;Urosalpinx cinerea;present;50.59276;-2.160084;100;;;2010-05-08T00:00:00Z
1272051858;Urosalpinx cinerea;present;38.03938;-122.27165;;;;2010-06-30T00:00:00Z
899633796;Urosalpinx cinerea;present;28.408841;-80.633511;;;;2010-07-13T00:00:00Z
899633756;Urosalpinx cinerea;present;28.408841;-80.633511;;;;2010-07-13T00:00:00Z
1960409180;Urosalpinx cinerea;present;51.5;4.05;5000;;;2011-03-04T00:00:00Z
1038286297;Urosalpinx cinerea;present;37.509794;-122.110634;;;;2011-05-19T12:08:30Z
2488218266;Urosalpinx cinerea;present;49.74142;-1.48824;50;;;2011-05-25T00:00:00Z
2488074508;Urosalpinx cinerea;present;49.74025;-1.22244;50;;;2011-05-28T00:00:00Z
1457575709;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1457575682;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1457575674;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1457575659;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1457575650;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1457575647;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1457575619;Urosalpinx cinerea;present;44.36;-64.31;;;;2011-07-08T00:00:00Z
1414878301;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
1414878297;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
1414878293;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
1414878252;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
1414878229;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
1414878215;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
1414878193;Urosalpinx cinerea;present;44.365;-64.3136;;;;2011-07-08T00:00:00Z
2311188334;Urosalpinx cinerea;present;44.37;-64.31;;;;2011-07-08T00:00:00Z
2309729705;Urosalpinx cinerea;present;44.37;-64.31;;;;2011-07-08T00:00:00Z
2309418921;Urosalpinx cinerea;present;44.37;-64.31;;;;2011-07-08T00:00:00Z
2308113527;Urosalpinx cinerea;present;44.37;-64.31;;;;2011-07-08T00:00:00Z
2307481154;Urosalpinx cinerea;present;44.37;-64.31;;;;2011-07-08T00:00:00Z
2307304265;Urosalpinx cinerea;present;44.37;-64.31;;;;2011-07-08T00:00:00Z
