V1;V2;V3;V4;V5;V6
Fundulus heteroclitus;0.752;0.811;0.802;0.813;0.823
Gambusia affinis;0.852;0.855;0.856;0.836;0.846
Gambusia holbrooki;0.854;0.872;0.892;0.867;0.863
Neogobius fluviatilis;0.364;0.499;0.539;0.431;0.49
Oncorhynchus keta;0.747;0.754;0.765;0.771;0.705
Oncorhynchus kisutch;0.803;0.783;0.792;0.795;0.787
Perccottus glenii;0.736;0.776;0.67;0.527;0.694
Ponticola kessleri;0.844;0.903;0.79;0.868;0.89
Pseudorasbora parva;0.549;0.57;0.513;0.46;0.505
Corbicula fluminalis;0.36;0.365;0.382;0.387;0.401
Dikerogammarus villosus;0.446;0.458;0.396;0.409;0.387
Echinogammarus ischnus;0.829;0.838;0.815;0.806;0.84
Faxonius rusticus;0.922;0.908;0.91;0.907;0.911
Gammarus fasciatus;0.763;0.762;0.774;0.562;0.765
Lithoglyphus naticoides;0.414;0.506;0.39;0.428;0.405
Potamopyrgus antipodarum;0.668;0.677;0.628;0.699;0.676
Gracilaria vermiculophylla;0.731;0.659;0.675;0.657;0.704
Dreissena polymorpha.csv;0.846;0.851;0.842;0.817;0.849
Misgurnus anguillicaudatus;0.737;0.737;0.712;0.707;0.655
Corbicula fluminea;0.71;0.699;0.709;0.724;0.705
Cancer irroratus;0.717;0.67;0.706;0.678;0.727
Neogobius melanostomus;0.747;0.766;0.788;0.767;0.776
Oncorhynchus gorbuscha;0.761;0.764;0.735;0.746;0.762
Elodea nuttallii;0.754;0.759;0.74;0.757;0.76
Nymphoides peltata;0.706;0.609;0.761;0.657;0.666
Pistia stratiotes;0.883;0.884;0.881;0.885;0.878
Faxonius limosus;0.71;0.699;0.646;0.742;0.626
