species,present.data,absence.data,pseudoabsence.data
Coregonus peled,Coregonus peled.csv,Coregonus peled.csv,pseudoabsences.csv
Fundulus heteroclitus,Fundulus heteroclitus.csv,Fundulus heteroclitus.csv,pseudoabsences.csv
Gambusia affinis,Gambusia affinis.csv,Gambusia affinis.csv,pseudoabsences.csv
Gambusia holbrooki,Gambusia holbrooki.csv,Gambusia holbrooki.csv,pseudoabsences.csv
Neogobius fluviatilis,Neogobius fluviatilis.csv,Neogobius fluviatilis.csv,pseudoabsences.csv
Oncorhynchus keta,Oncorhynchus keta.csv,Oncorhynchus keta.csv,pseudoabsences.csv
Oncorhynchus kisutch,Oncorhynchus kisutch.csv,Oncorhynchus kisutch.csv,pseudoabsences.csv
Perccottus glenii,Perccottus glenii.csv,Perccottus glenii.csv,pseudoabsences.csv
Ponticola kessleri,Ponticola kessleri.csv,Ponticola kessleri.csv,pseudoabsences.csv
Pseudorasbora parva,Pseudorasbora parva.csv,Pseudorasbora parva.csv,pseudoabsences.csv
Romanogobio belingi,Romanogobio belingi.csv,Romanogobio belingi.csv,pseudoabsences.csv
Corbicula fluminalis,Corbicula fluminalis.csv,Corbicula fluminalis.csv,pseudoabsences.csv
Dikerogammarus villosus,Dikerogammarus villosus.csv,Dikerogammarus villosus.csv,pseudoabsences.csv
Echinogammarus ischnus,Echinogammarus ischnus.csv,Echinogammarus ischnus.csv,pseudoabsences.csv
Faxonius rusticus,Faxonius rusticus.csv,Faxonius rusticus.csv,pseudoabsences.csv
Gammarus fasciatus,Gammarus fasciatus.csv,Gammarus fasciatus.csv,pseudoabsences.csv
Gmelinoides fasciatus,Gmelinoides fasciatus.csv,Gmelinoides fasciatus.csv,pseudoabsences.csv
Lithoglyphus naticoides,Lithoglyphus naticoides.csv,Lithoglyphus naticoides.csv,pseudoabsences.csv
Obesogammarus crassus,Obesogammarus crassus.csv,Obesogammarus crassus.csv,pseudoabsences.csv
Potamopyrgus antipodarum,Potamopyrgus antipodarum.csv,Potamopyrgus antipodarum.csv,pseudoabsences.csv
Chaetoceros seiracanthus,Chaetoceros seiracanthus.csv,Chaetoceros seiracanthus.csv,pseudoabsences.csv
Gracilaria vermiculophylla,Gracilaria vermiculophylla.csv,Gracilaria vermiculophylla.csv,pseudoabsences.csv
Coregonus muksun,Coregonus muksun.csv,Coregonus muksun.csv,pseudoabsences.csv
Dreissena polymorpha.csv,Dreissena polymorpha.csv,Dreissena polymorpha.csv,pseudoabsences.csv
Misgurnus anguillicaudatus,Misgurnus anguillicaudatus.csv,Misgurnus anguillicaudatus.csv,pseudoabsences.csv
Corbicula fluminea,Corbicula fluminea.csv,Corbicula fluminea.csv,pseudoabsences.csv
Cancer irroratus,Cancer irroratus.csv,Cancer irroratus.csv,pseudoabsences.csv
Neogobius melanostomus,Neogobius melanostomus.csv,Neogobius melanostomus.csv,pseudoabsences.csv
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha.csv,Oncorhynchus gorbuscha.csv,pseudoabsences.csv
Elodea nuttallii,Elodea nuttallii.csv,Elodea nuttallii.csv,pseudoabsences.csv
Nymphoides peltata,Nymphoides peltata.csv,Nymphoides peltata.csv,pseudoabsences.csv
Pistia stratiotes,Pistia stratiotes.csv,Pistia stratiotes.csv,pseudoabsences.csv
Faxonius limosus,Faxonius limosus.csv,Faxonius limosus.csv,pseudoabsences.csv
Faxonius immunis,Faxonius immunis.csv,Faxonius immunis.csv,pseudoabsences.csv
